################################################################################
# Data file for Pacific Herring stock assessment using iSCAM
# Region(s):	Haida Gwaii
# Section(s):	21 and 25
# Created:	2019-11-25
# Edited:	
################################################################################
#
##### Model dimensions #####
1	# Number of areas (narea)
1	# Number of groups (ngroup)
1	# Number of sexes (nsex)
1951	# First year (syr)
2019	# Last year (nyr)
2	# Youngest age (sage)
10	# Plus group (nage)
5	# Number of gears (ngear)
#
##### Fishery flags #####
0	1	0	0	0	# TAC allocations (mean of last 20 years)
#
##### Age and population parameters #####
27	# Asymptotic length (linf)
0.48	# Brody growth coefficient (k)
0	# Theoretical age at zero length (t0)
4.5e-06	# Scalar in length-weight allometry (alpha)
3.127	# Power parameter in length-weight allometry (beta)
2.055	# Age at 50% maturity
0.05	# Standard deviation at 50% maturity
1	# Natural mortality indicator
0.24974, 0.9, 1, 1, 1, 1, 1, 1, 1	# Maturity vector
#
##### Delay-difference parameters (not used) #####
0	# (kage)
0	# (alpha_g)
0	# (rho_g)
0	# (wk)
#
##### Catch (t*10^3) #####
64	# Number of observations
# Year	Gear	Area	Group	Sex	Type	Value
1951	1	1	1	0	1	2.847
1952	1	1	1	0	1	7.39
1954	1	1	1	0	1	1.786
1956	1	1	1	0	1	77.369
1957	1	1	1	0	1	14.658
1958	1	1	1	0	1	0.274
1959	1	1	1	0	1	6.553
1961	1	1	1	0	1	0.576
1962	1	1	1	0	1	7.632
1963	1	1	1	0	1	14.705
1964	1	1	1	0	1	26.848
1965	1	1	1	0	1	19.031
1966	1	1	1	0	1	2.049
1967	1	1	1	0	1	0.161
1975	1	1	1	0	1	0.017
1982	1	1	1	0	1	0.018
1984	1	1	1	0	1	0.096
1985	1	1	1	0	1	0.044
1987	1	1	1	0	1	0.033
1988	1	1	1	0	1	0.032
1989	1	1	1	0	1	0.042
1990	1	1	1	0	1	0.008
1991	1	1	1	0	1	0.001
1972	2	1	1	0	1	1.26
1973	2	1	1	0	1	2.231
1974	2	1	1	0	1	2.209
1975	2	1	1	0	1	4.286
1976	2	1	1	0	1	8.251
1977	2	1	1	0	1	8.521
1978	2	1	1	0	1	7.467
1979	2	1	1	0	1	5.817
1980	2	1	1	0	1	1.313
1981	2	1	1	0	1	2.996
1982	2	1	1	0	1	1.755
1983	2	1	1	0	1	4.601
1984	2	1	1	0	1	4.016
1985	2	1	1	0	1	4.571
1986	2	1	1	0	1	2.613
1987	2	1	1	0	1	2.028
1990	2	1	1	0	1	0.285
1991	2	1	1	0	1	3.898
1992	2	1	1	0	1	0.063
1993	2	1	1	0	1	2.699
1998	2	1	1	0	1	1.371
1999	2	1	1	0	1	2.493
2000	2	1	1	0	1	1.765
2002	2	1	1	0	1	0.706
1974	3	1	1	0	1	0.068
1975	3	1	1	0	1	0.105
1976	3	1	1	0	1	1.174
1977	3	1	1	0	1	1.489
1978	3	1	1	0	1	2.021
1979	3	1	1	0	1	2.086
1980	3	1	1	0	1	0.961
1981	3	1	1	0	1	1.55
1982	3	1	1	0	1	1.407
1983	3	1	1	0	1	0.929
1984	3	1	1	0	1	0.535
1985	3	1	1	0	1	1.493
1986	3	1	1	0	1	0.803
1990	3	1	1	0	1	1.17
1991	3	1	1	0	1	0.543
1993	3	1	1	0	1	0
1999	3	1	1	0	1	0.485
#
##### Spawn (t*10^3) #####
2		# Number of survey types
37	32	# Number of years per survey
3	3	# Survey type (1=vuln. number, 2=vuln. biomass, 3=spawn biomass)
# Year	Spawn	Gear	Area	Group	Sex	Weight	Timing
1951	4.213	4	1	1	0	1	1
1952	2.482	4	1	1	0	1	1
1953	7.351	4	1	1	0	1	1
1954	10.381	4	1	1	0	1	1
1955	6.437	4	1	1	0	1	1
1956	6.042	4	1	1	0	1	1
1957	1.592	4	1	1	0	1	1
1958	0.815	4	1	1	0	1	1
