Year,Dive,Surface
1988,7779.867411273721,1297.965507928869
1989,11624.124004394875,3520.134629577695
1990,16953.7935564934,0
1991,12562.161332122796,0
1992,7050.5071736993905,0
1993,4773.784820927203,0
1994,8676.17880898374,1103.5303552
1995,4517.737044866065,25.645901569947757
1996,6550.86279102429,0
1997,9484.348514717121,0
1998,16720.940074400733,0
1999,8090.284204806937,0
2000,4597.635230100062,0
2001,12268.77593891767,0
2002,1294.1674757993824,0
2003,3488.8730776689827,2730.245279999999
2004,2245.0203722990655,1028.6627207999998
2005,1886.2167891504546,432.95002032499997
2006,0,2973.97954793663
2007,353.83955484492157,7428.08918044001
2008,3165.756712494497,0
2009,6797.880732508098,1954.7790899805657
2010,4302.325650844736,182.92383338999997
2011,5653.790730471775,1.1572715999999998
2012,6540.654874860723,1443.5332268099999
2013,12529.319691982048,1308.9826134
2014,9851.674733333708,0
2015,12309.861613385643,0
2016,6300.876462361046,165.60797839192048
2017,2648.710638253632,313.3739965
2018,3515.6726428039624,0
2019,10371.113802928629,310.753695537744
