"Year","Gear","Area","a1","a2","a3","a4","a5","a6","a7","a8","a9","a10"
1952,1,1,27,315,103,72,25,12,1,0,0,0
1956,1,1,0,0,11,11,6,14,0,0,0,0
1957,1,1,4,684,456,223,122,325,26,5,3,0
1958,1,1,0,2094,406,32,5,4,3,0,0,0
1965,1,1,0,0,29,6,9,3,1,0,0,0
1951,1,2,0,1,226,781,226,170,62,9,1,0
1952,1,2,0,66,382,688,454,80,24,2,0,0
1956,1,2,0,2,216,130,838,113,37,10,0,2
1957,1,2,3,528,697,499,315,912,82,14,3,0
1959,1,2,0,1,60,27,7,0,0,0,0,0
1962,1,2,0,13,161,177,41,28,7,1,0,0
1963,1,2,0,3,402,218,146,17,16,0,1,1
1964,1,2,0,5,81,314,94,28,6,0,0,0
1965,1,2,0,17,811,110,37,19,9,2,0,0
1984,1,2,0,11,68,4,8,16,73,4,1,1
1957,1,3,0,1,38,16,11,14,9,2,0,0
1972,2,1,0,2,27,118,119,41,18,7,3,1
1973,2,1,0,1,184,111,202,85,12,8,0,0
1974,2,1,0,0,27,332,143,96,22,2,0,0
1975,2,1,0,34,399,200,496,163,38,7,1,0
1976,2,1,0,2,6,58,56,203,39,10,1,0
1978,2,1,0,0,19,18,18,18,8,7,0,3
1980,2,1,0,9,354,15,9,4,2,0,0,0
1981,2,1,0,6,39,949,24,11,3,0,1,0
1982,2,1,0,18,114,77,1343,32,21,13,4,1
1983,2,1,0,19,33,22,43,219,18,8,6,3
1984,2,1,0,12,115,25,9,24,48,2,1,0
1985,2,1,0,38,110,150,31,44,54,26,3,1
1986,2,1,82,4,33,53,111,21,12,27,12,1
1987,2,1,0,4,54,42,39,85,11,12,15,8
1988,2,1,0,31,95,51,36,58,50,9,8,3
1989,2,1,0,101,41,21,8,5,9,1,0,0
1990,2,1,0,2,46,112,65,19,19,19,1,1
1991,2,1,0,7,10,30,54,62,7,3,9,7
1992,2,1,0,3,196,47,78,205,86,25,7,14
1993,2,1,0,9,12,114,18,56,121,31,8,5
1994,2,1,0,41,41,42,304,96,108,83,26,5
1995,2,1,0,26,34,7,12,107,30,31,21,9
1996,2,1,0,14,230,28,18,10,55,15,4,0
1997,2,1,0,34,87,157,24,15,30,32,5,1
1998,2,1,76,2,127,91,55,9,6,2,1,0
2000,2,1,0,12,27,4,44,2,4,0,0,0
2001,2,1,0,0,44,32,7,10,1,2,0,0
2003,2,1,0,0,90,38,28,13,6,5,3,1
2004,2,1,0,7,1,49,15,9,6,1,0,2
2006,2,1,0,64,10,65,14,26,5,1,0,0
2007,2,1,0,1,35,15,19,5,8,5,0,0
2010,2,1,0,10,13,153,24,63,12,3,1,2
2012,2,1,0,3,8,33,2,29,4,8,1,1
2013,2,1,0,0,69,17,41,11,23,3,4,0
2014,2,1,0,3,10,90,14,31,7,16,4,3
2015,2,1,0,16,31,20,68,11,24,6,5,1
2017,2,1,0,44,44,19,17,7,27,11,6,5
2019,2,1,0,1,60,24,4,1,0,3,0,0
1972,2,2,0,22,175,216,21,21,7,2,1,0
1973,2,2,0,2,262,138,230,48,17,5,0,0
1974,2,2,0,2,416,163,67,37,8,3,1,0
1975,2,2,0,4,1007,1374,410,160,52,14,5,0
1976,2,2,0,7,77,1388,881,199,59,17,1,0
1977,2,2,0,0,315,188,786,412,101,18,4,0
1978,2,2,0,1,194,134,87,259,96,13,0,0
1979,2,2,0,57,45,322,191,217,154,29,4,1
1980,2,2,0,6,1700,86,101,51,37,14,2,0
1981,2,2,0,3,99,2961,225,134,87,31,8,5
1982,2,2,0,1,26,43,1419,38,25,17,12,2
1983,2,2,0,59,65,46,85,1172,57,21,11,2
1984,2,2,0,45,963,120,71,288,1245,30,10,5
1985,2,2,0,9,421,982,113,116,350,1093,13,2
1986,2,2,0,9,101,988,1791,170,143,353,893,14
1987,2,2,0,53,288,150,760,1154,115,130,175,186
1988,2,2,0,28,488,69,43,138,199,14,20,54
1989,2,2,0,19,512,969,76,49,120,92,21,34
1990,2,2,0,6,184,675,1095,125,69,162,81,28
1991,2,2,0,206,122,296,900,1052,107,57,125,55
1992,2,2,0,3,560,44,59,129,119,13,10,21
1993,2,2,0,2,81,2048,126,144,309,301,28,10
1994,2,2,0,34,11,19,286,33,25,49,13,3
1995,2,2,0,93,62,5,12,86,19,9,5,3
1996,2,2,19,136,288,62,13,22,94,8,7,3
1997,2,2,0,361,266,365,58,9,41,51,7,4
1998,2,2,0,5,1114,565,221,59,10,29,24,9
1999,2,2,0,67,46,1332,350,164,56,15,10,12
2000,2,2,0,171,388,81,1227,169,93,9,10,4
2001,2,2,144,106,179,104,27,131,22,5,2,0
2002,2,2,0,705,581,574,290,71,305,33,10,2
