Year,Gear,Area,Type,Value,Stock
1952,1,1,1,2.756,C/S
1955,1,1,1,0.498,C/S
1956,1,1,1,0.093,C/S
1957,1,1,1,6.681,C/S
1958,1,1,1,10.873,C/S
1959,1,1,1,0.275,C/S
1965,1,1,1,13.392,C/S
1966,1,1,1,0.697,C/S
1968,1,1,1,0.08,C/S
1971,1,1,1,0.102,C/S
1972,1,1,1,0.778,C/S
1976,1,1,1,0.374,C/S
1977,1,1,1,0.021,C/S
1979,1,1,1,0.05,C/S
1981,1,1,1,0.043,C/S
1983,1,1,1,0.067,C/S
1972,2,1,1,1.352,C/S
1973,2,1,1,5.219,C/S
1974,2,1,1,3.983,C/S
1975,2,1,1,1.703,C/S
1976,2,1,1,1.533,C/S
1981,2,1,1,0.887,C/S
1982,2,1,1,0.599,C/S
1994,2,1,1,0.299,C/S
1974,3,1,1,0.059,C/S
1976,3,1,1,0.294,C/S
1981,3,1,1,0.155,C/S
1986,3,1,1,0.087,C/S
1951,1,2,1,2.847,JP/S
1952,1,2,1,7.39,JP/S
1954,1,2,1,1.786,JP/S
1956,1,2,1,77.369,JP/S
1957,1,2,1,14.658,JP/S
1958,1,2,1,0.274,JP/S
1959,1,2,1,6.553,JP/S
1961,1,2,1,0.576,JP/S
1962,1,2,1,7.632,JP/S
1963,1,2,1,14.705,JP/S
1964,1,2,1,26.848,JP/S
1965,1,2,1,19.031,JP/S
1966,1,2,1,2.049,JP/S
1967,1,2,1,0.161,JP/S
1975,1,2,1,0.017,JP/S
1982,1,2,1,0.018,JP/S
1984,1,2,1,0.096,JP/S
1985,1,2,1,0.044,JP/S
1987,1,2,1,0.033,JP/S
1988,1,2,1,0.032,JP/S
1989,1,2,1,0.042,JP/S
1990,1,2,1,0.008,JP/S
1991,1,2,1,0.001,JP/S
1972,2,2,1,1.26,JP/S
1973,2,2,1,2.231,JP/S
1974,2,2,1,2.209,JP/S
1975,2,2,1,4.286,JP/S
1976,2,2,1,8.251,JP/S
1977,2,2,1,8.521,JP/S
1978,2,2,1,7.467,JP/S
1979,2,2,1,5.817,JP/S
1980,2,2,1,1.313,JP/S
1981,2,2,1,2.996,JP/S
1982,2,2,1,1.755,JP/S
1983,2,2,1,4.601,JP/S
1984,2,2,1,4.016,JP/S
1985,2,2,1,4.571,JP/S
1986,2,2,1,2.613,JP/S
1987,2,2,1,2.028,JP/S
1990,2,2,1,0.285,JP/S
1991,2,2,1,3.898,JP/S
1992,2,2,1,0.063,JP/S
1993,2,2,1,2.699,JP/S
1998,2,2,1,1.371,JP/S
1999,2,2,1,2.493,JP/S
2000,2,2,1,1.765,JP/S
2002,2,2,1,0.706,JP/S
1974,3,2,1,0.068,JP/S
1975,3,2,1,0.105,JP/S
1976,3,2,1,1.174,JP/S
1977,3,2,1,1.489,JP/S
1978,3,2,1,2.021,JP/S
1979,3,2,1,2.086,JP/S
1980,3,2,1,0.961,JP/S
1981,3,2,1,1.55,JP/S
1982,3,2,1,1.407,JP/S
1983,3,2,1,0.929,JP/S
1984,3,2,1,0.535,JP/S
1985,3,2,1,1.493,JP/S
1986,3,2,1,0.803,JP/S
1990,3,2,1,1.17,JP/S
1991,3,2,1,0.543,JP/S
1993,3,2,1,0,JP/S
1999,3,2,1,0.485,JP/S
1957,1,3,1,0.464,Lou
1964,1,3,1,1.924,Lou
1965,1,3,1,3.026,Lou
1967,1,3,1,0.052,Lou
1972,1,3,1,0.071,Lou
1972,2,3,1,0.512,Lou
1973,2,3,1,0.071,Lou
1975,2,3,1,1.613,Lou
1976,2,3,1,2.156,Lou
1977,2,3,1,2.604,Lou
1978,2,3,1,1.705,Lou
1980,2,3,1,0.793,Lou
1989,2,3,1,1.419,Lou
1990,2,3,1,5.25,Lou
1992,2,3,1,2.46,Lou
1976,3,3,1,0.334,Lou
1978,3,3,1,0.532,Lou
1980,3,3,1,0.249,Lou
1997,6,1,2,0.002721364,C/S
1997,6,2,2,0.021110909,JP/S
1998,6,1,2,0.032345455,C/S
1998,6,2,2,0.010851818,JP/S
1998,6,3,2,0.009691818,Lou
1999,6,1,2,0.004674091,C/S
1999,6,2,2,0.057494091,JP/S
2000,6,1,2,0.029770909,C/S
2000,6,2,2,0.044359546,JP/S
2001,6,1,2,0.016412273,C/S
2001,6,2,2,0.056625,JP/S
2002,6,2,2,0.045933636,JP/S
2002,6,3,2,0.006560455,Lou
2003,6,1,2,0.015845,C/S
2003,6,2,2,0.060954545,JP/S
2004,6,1,2,0.009975,C/S
2004,6,2,2,0.059550909,JP/S
