"","Year","Dive","Surface","sum","Spawn","Area","diff"
"1",1988,3425.68362532484,30.8272068,3.45651083212484,3.457,1,0
"2",1989,2309.42993443673,1646.834744495,3.95626467893173,3.376,1,-0.58
"3",1990,6049.54275776382,441.677502380905,6.49122026014473,6.491,1,0
"4",1991,2586.50795118684,282.68838,2.86919633118684,2.869,1,0
"5",1992,3017.580873155,0,3.017580873155,3.018,1,0
"6",1993,1512.21121948453,73.0068823288786,1.58521810181341,1.585,1,0
"7",1994,2973.14180221985,0,2.97314180221985,2.973,1,0
"8",1995,49.6312949400493,107.689989875242,0.157321284815291,0.157,1,0
"9",1996,698.226822677573,0,0.698226822677573,0.698,1,0
"10",1997,1240.95611397516,0,1.24095611397516,1.241,1,0
"11",1998,3900.84727714156,0,3.90084727714156,3.901,1,0
"12",1999,837.093692925865,0,0.837093692925865,0.837,1,0
"13",2000,743.377512878633,0,0.743377512878633,0.743,1,0
"14",2001,1335.00714025502,0,1.33500714025502,1.335,1,0
"15",2002,891.773669782243,0,0.891773669782243,0.892,1,0
"16",2003,1119.31387273168,59.47599168,1.17878986441168,1.179,1,0
"17",2004,957.272636418116,675.214113824033,1.63248675024215,1.632,1,0
"18",2005,634.614049839806,156.967266975,0.791581316814806,0.792,1,0
"19",2006,0,1123.13040227729,1.12313040227729,1.123,1,0
"20",2007,641.9974620277,910.310215335,1.5523076773627,1.552,1,0
"21",2008,1047.40035265485,0,1.04740035265485,1.047,1,0
"22",2009,790.135844682812,250.856972262,1.04099281694481,1.041,1,0
"23",2010,2093.29160113365,115.562787,2.20885438813365,2.209,1,0
"24",2011,1210.31914441596,495.95139495,1.70627053936596,1.706,1,0
"25",2012,1310.79551525916,227.27662185,1.53807213710916,1.538,1,0
"26",2013,0,915.2385017375,0.9152385017375,0.915,1,0
"27",2014,714.2381892216,0,0.7142381892216,0.714,1,0
"28",2015,792.241268288476,0,0.792241268288476,0.792,1,0
"29",2016,363.36974482642,0,0.36336974482642,0.363,1,0
"30",2017,53.5185167771138,0,0.0535185167771138,0.054,1,0
"31",2018,1072.63174443162,0,1.07263174443162,1.073,1,0
"32",2019,272.959912614938,411.409963738607,0.684369876353544,0.758,1,0.07
