"Year","Area","Gear","a1","a2","a3","a4","a5","a6","a7","a8","a9","a10"
1951,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1952,1,1,0.009,0.038,0.071,0.101,0.114,0.144,0.157,0.169,0.18,0.177
1953,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1954,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1955,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1956,1,1,0.009,0.044,0.085,0.113,0.136,0.144,0.164,0.169,0.18,0.177
1957,1,1,0.012,0.043,0.083,0.119,0.133,0.142,0.164,0.169,0.18,0.177
1958,1,1,0.009,0.046,0.075,0.099,0.122,0.148,0.16,0.169,0.18,0.177
1959,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1960,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1961,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1962,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1963,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1964,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1965,1,1,0.009,0.044,0.105,0.138,0.172,0.17,0.203,0.169,0.18,0.177
1966,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1967,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1968,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1969,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1970,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1971,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1972,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1973,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1974,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1975,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1976,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1977,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1978,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1979,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1980,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1981,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1982,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1983,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1984,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1985,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1986,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1987,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1988,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1989,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1990,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1991,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1992,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1993,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1994,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1995,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1996,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1997,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1998,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
1999,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
2000,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
2001,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
2002,1,1,0.009,0.044,0.079,0.113,0.132,0.142,0.164,0.169,0.18,0.177
