Year,Spawn,Gear,Area,Group,Sex,Weight,Timing,Stock
1952,0.096,4,1,1,0,1,1,C/S
1953,0.204,4,1,1,0,1,1,C/S
1954,2.027,4,1,1,0,1,1,C/S
1959,1.288,4,1,1,0,1,1,C/S
1960,0.12,4,1,1,0,1,1,C/S
1962,0.038,4,1,1,0,1,1,C/S
1963,0.013,4,1,1,0,1,1,C/S
1965,0.271,4,1,1,0,1,1,C/S
1966,0.038,4,1,1,0,1,1,C/S
1967,0.086,4,1,1,0,1,1,C/S
1970,2.607,4,1,1,0,1,1,C/S
1971,7.245,4,1,1,0,1,1,C/S
1972,6.025,4,1,1,0,1,1,C/S
1973,1.511,4,1,1,0,1,1,C/S
1974,1.403,4,1,1,0,1,1,C/S
1975,2.1,4,1,1,0,1,1,C/S
1976,1.854,4,1,1,0,1,1,C/S
1977,1.82,4,1,1,0,1,1,C/S
1978,2.291,4,1,1,0,1,1,C/S
1979,3.522,4,1,1,0,1,1,C/S
1980,0.829,4,1,1,0,1,1,C/S
1981,3.629,4,1,1,0,1,1,C/S
1982,1.901,4,1,1,0,1,1,C/S
1983,3.591,4,1,1,0,1,1,C/S
1984,3.683,4,1,1,0,1,1,C/S
1985,1.988,4,1,1,0,1,1,C/S
1986,2.333,4,1,1,0,1,1,C/S
1987,1.89,4,1,1,0,1,1,C/S
1988,3.457,5,1,1,0,1.1666,1,C/S
1989,3.376,5,1,1,0,1.1666,1,C/S
1990,6.491,5,1,1,0,1.1666,1,C/S
1991,2.869,5,1,1,0,1.1666,1,C/S
1992,3.018,5,1,1,0,1.1666,1,C/S
1993,1.585,5,1,1,0,1.1666,1,C/S
1994,2.973,5,1,1,0,1.1666,1,C/S
1995,0.157,5,1,1,0,1.1666,1,C/S
1996,0.698,5,1,1,0,1.1666,1,C/S
1997,1.241,5,1,1,0,1.1666,1,C/S
1998,3.901,5,1,1,0,1.1666,1,C/S
1999,0.837,5,1,1,0,1.1666,1,C/S
2000,0.743,5,1,1,0,1.1666,1,C/S
2001,1.335,5,1,1,0,1.1666,1,C/S
2002,0.892,5,1,1,0,1.1666,1,C/S
2003,1.179,5,1,1,0,1.1666,1,C/S
2004,1.632,5,1,1,0,1.1666,1,C/S
2005,0.792,5,1,1,0,1.1666,1,C/S
2006,1.123,5,1,1,0,1.1666,1,C/S
2007,1.552,5,1,1,0,1.1666,1,C/S
2008,1.047,5,1,1,0,1.1666,1,C/S
2009,1.041,5,1,1,0,1.1666,1,C/S
2010,2.209,5,1,1,0,1.1666,1,C/S
2011,1.706,5,1,1,0,1.1666,1,C/S
2012,1.538,5,1,1,0,1.1666,1,C/S
2013,0.915,5,1,1,0,1.1666,1,C/S
2014,0.714,5,1,1,0,1.1666,1,C/S
2015,0.792,5,1,1,0,1.1666,1,C/S
2016,0.363,5,1,1,0,1.1666,1,C/S
2017,0.054,5,1,1,0,1.1666,1,C/S
2018,1.073,5,1,1,0,1.1666,1,C/S
2019,0.758,5,1,1,0,1.1666,1,C/S
1951,4.213,4,2,1,0,1,1,JP/S
1952,2.482,4,2,1,0,1,1,JP/S
1953,7.351,4,2,1,0,1,1,JP/S
1954,10.381,4,2,1,0,1,1,JP/S
1955,6.437,4,2,1,0,1,1,JP/S
1956,6.042,4,2,1,0,1,1,JP/S
1957,1.592,4,2,1,0,1,1,JP/S
1958,0.815,4,2,1,0,1,1,JP/S
1959,7.055,4,2,1,0,1,1,JP/S
1960,4.316,4,2,1,0,1,1,JP/S
1961,7.805,4,2,1,0,1,1,JP/S
1962,5.146,4,2,1,0,1,1,JP/S
1963,7.285,4,2,1,0,1,1,JP/S
1964,3.195,4,2,1,0,1,1,JP/S
1965,0.939,4,2,1,0,1,1,JP/S
1966,2.787,4,2,1,0,1,1,JP/S
1967,0.62,4,2,1,0,1,1,JP/S
1968,0.814,4,2,1,0,1,1,JP/S
1969,2.075,4,2,1,0,1,1,JP/S
1970,2.787,4,2,1,0,1,1,JP/S
1971,5.224,4,2,1,0,1,1,JP/S
1972,1.961,4,2,1,0,1,1,JP/S
1973,3.426,4,2,1,0,1,1,JP/S
1974,10.908,4,2,1,0,1,1,JP/S
1975,5.197,4,2,1,0,1,1,JP/S
1976,10.396,4,2,1,0,1,1,JP/S
1977,12.645,4,2,1,0,1,1,JP/S
1978,14.093,4,2,1,0,1,1,JP/S
1979,10.31,4,2,1,0,1,1,JP/S
1980,28.931,4,2,1,0,1,1,JP/S
1981,14.976,4,2,1,0,1,1,JP/S
1982,19.667,4,2,1,0,1,1,JP/S
1983,15.396,4,2,1,0,1,1,JP/S
1984,18.112,4,2,1,0,1,1,JP/S
1985,14.901,4,2,1,0,1,1,JP/S
1986,3.346,4,2,1,0,1,1,JP/S
1987,8.701,4,2,1,0,1,1,JP/S
1988,9.078,5,2,1,0,1.1666,1,JP/S
1989,15.144,5,2,1,0,1.1666,1,JP/S
1990,16.954,5,2,1,0,1.1666,1,JP/S
1991,12.562,5,2,1,0,1.1666,1,JP/S
1992,7.051,5,2,1,0,1.1666,1,JP/S
1993,4.774,5,2,1,0,1.1666,1,JP/S
1994,9.78,5,2,1,0,1.1666,1,JP/S
1995,4.543,5,2,1,0,1.1666,1,JP/S
1996,6.551,5,2,1,0,1.1666,1,JP/S
1997,9.484,5,2,1,0,1.1666,1,JP/S
1998,16.721,5,2,1,0,1.1666,1,JP/S
1999,8.09,5,2,1,0,1.1666,1,JP/S
2000,4.598,5,2,1,0,1.1666,1,JP/S
2001,12.269,5,2,1,0,1.1666,1,JP/S
2002,1.294,5,2,1,0,1.1666,1,JP/S
2003,6.219,5,2,1,0,1.1666,1,JP/S
2004,3.274,5,2,1,0,1.1666,1,JP/S
2005,2.319,5,2,1,0,1.1666,1,JP/S
2006,2.974,5,2,1,0,1.1666,1,JP/S
2007,7.782,5,2,1,0,1.1666,1,JP/S
2008,3.166,5,2,1,0,1.1666,1,JP/S
2009,8.753,5,2,1,0,1.1666,1,JP/S
2010,4.485,5,2,1,0,1.1666,1,JP/S
2011,5.655,5,2,1,0,1.1666,1,JP/S
2012,7.984,5,2,1,0,1.1666,1,JP/S
2013,13.838,5,2,1,0,1.1666,1,JP/S
2014,9.852,5,2,1,0,1.1666,1,JP/S
2015,12.31,5,2,1,0,1.1666,1,JP/S
2016,6.525,5,2,1,0,1.1666,1,JP/S
2017,2.962,5,2,1,0,1.1666,1,JP/S
2018,3.516,5,2,1,0,1.1666,1,JP/S
2019,10.682,5,2,1,0,1.1666,1,JP/S
1959,0.638,4,3,1,0,1,1,Lou
1960,2.163,4,3,1,0,1,1,Lou
1961,1.176,4,3,1,0,1,1,Lou
1962,0.547,4,3,1,0,1,1,Lou
1964,0.909,4,3,1,0,1,1,Lou
1965,0.169,4,3,1,0,1,1,Lou
1967,0.005,4,3,1,0,1,1,Lou
1968,0.019,4,3,1,0,1,1,Lou
1970,0.158,4,3,1,0,1,1,Lou
1971,0.822,4,3,1,0,1,1,Lou
1972,1.556,4,3,1,0,1,1,Lou
1973,3.023,4,3,1,0,1,1,Lou
1974,2.198,4,3,1,0,1,1,Lou
1975,2.39,4,3,1,0,1,1,Lou
1976,3.736,4,3,1,0,1,1,Lou
