"","Year","Gear","Area","Type","Value","Stock"
"1",1997,6,1,2,0.002721364,"C/S"
"2",1997,6,2,2,0.021110909,"JP/S"
"3",1998,6,1,2,0.032345455,"C/S"
"4",1998,6,2,2,0.010851818,"JP/S"
"5",1998,6,3,2,0.009691818,"Lou"
"6",1999,6,1,2,0.004674091,"C/S"
"7",1999,6,2,2,0.057494091,"JP/S"
"8",2000,6,1,2,0.029770909,"C/S"
"9",2000,6,2,2,0.044359546,"JP/S"
"10",2001,6,1,2,0.016412273,"C/S"
"11",2001,6,2,2,0.056625,"JP/S"
"12",2002,6,2,2,0.045933636,"JP/S"
"13",2002,6,3,2,0.006560455,"Lou"
"14",2003,6,1,2,0.015845,"C/S"
"15",2003,6,2,2,0.060954545,"JP/S"
"16",2004,6,1,2,0.009975,"C/S"
"17",2004,6,2,2,0.059550909,"JP/S"
