Year,Area,a2,a3,a4,a5,a6,a7,a8,a9,a10,Stock
1951,1,0.0384,0.0713,0.1008,0.1138,0.1438,0.157,0.169,0.18,0.25,CS
1952,1,0.0384,0.0713,0.1008,0.1138,0.1438,0.157,0.169,0.18,0.25,CS
1953,1,0.0384,0.0713,0.1008,0.1138,0.1438,0.157,0.169,0.18,0.25,CS
1954,1,0.0384,0.0713,0.1008,0.1138,0.1438,0.157,0.169,0.18,0.25,CS
1955,1,0.0384,0.0713,0.1008,0.1138,0.1438,0.157,0.169,0.18,0.25,CS
1956,1,0.0384,0.0713,0.1008,0.1138,0.1438,0.157,0.169,0.18,0.25,CS
1957,1,0.0405,0.0845,0.1185,0.1332,0.1417,0.1634,0.169,0.18,0.25,CS
1958,1,0.0461,0.0751,0.0995,0.1218,0.1475,0.1612,0.169,0.18,0.25,CS
1959,1,0.0403,0.0747,0.1041,0.1193,0.1441,0.1591,0.169,0.18,0.25,CS
1960,1,0.0407,0.0754,0.1047,0.1204,0.1442,0.1596,0.169,0.18,0.25,CS
1961,1,0.0412,0.0762,0.1055,0.1217,0.1443,0.1601,0.169,0.18,0.25,CS
1962,1,0.0418,0.0772,0.1065,0.1233,0.1444,0.1607,0.169,0.18,0.25,CS
1963,1,0.042,0.0757,0.104,0.1213,0.1449,0.1601,0.169,0.18,0.25,CS
1964,1,0.0412,0.0758,0.105,0.1212,0.1444,0.1599,0.169,0.18,0.25,CS
1965,1,0.0414,0.1052,0.1378,0.1721,0.1703,0.203,0.169,0.18,0.25,CS
1966,1,0.0415,0.082,0.1118,0.1319,0.1497,0.1688,0.169,0.18,0.25,CS
1967,1,0.0416,0.0832,0.113,0.134,0.1507,0.1705,0.169,0.18,0.25,CS
1968,1,0.0415,0.0844,0.1143,0.1361,0.152,0.1725,0.169,0.18,0.25,CS
1969,1,0.0414,0.0861,0.1164,0.1391,0.1534,0.1749,0.169,0.18,0.25,CS
1970,1,0.0415,0.0882,0.1187,0.1426,0.1552,0.1779,0.169,0.18,0.25,CS
1971,1,0.0415,0.0848,0.1148,0.1367,0.1522,0.1729,0.169,0.18,0.25,CS
1972,1,0.058,0.1076,0.1465,0.1698,0.2118,0.226,0.2394,0.2663,0.25,CS
1973,1,0.079,0.0936,0.1453,0.1783,0.2086,0.2356,0.2359,0.1973,0.25,CS
1974,1,0.0523,0.0919,0.1242,0.1503,0.1902,0.2095,0.246,0.2007,0.25,CS
1975,1,0.0596,0.0882,0.1265,0.151,0.1951,0.2213,0.2293,0.226,0.25,CS
1976,1,0.059,0.113,0.1352,0.1665,0.1804,0.2077,0.2442,0.246,0.25,CS
1977,1,0.0616,0.0988,0.1355,0.1632,0.1972,0.22,0.239,0.2273,0.25,CS
1978,1,0.0623,0.0922,0.1328,0.1728,0.1721,0.1721,0.1746,0.2195,0.248,CS
1979,1,0.059,0.0968,0.1308,0.1608,0.187,0.2061,0.2266,0.2239,0.2496,CS
1980,1,0.0553,0.0798,0.1014,0.1467,0.1608,0.1795,0.2227,0.2285,0.2495,CS
1981,1,0.062,0.0963,0.1102,0.1291,0.1625,0.174,0.2214,0.264,0.2494,CS
1982,1,0.0608,0.1013,0.1194,0.1286,0.1464,0.1728,0.1858,0.2148,0.203,CS
1983,1,0.0738,0.0951,0.125,0.1387,0.1522,0.1729,0.1809,0.201,0.208,CS
1984,1,0.0629,0.0893,0.111,0.1344,0.1562,0.1514,0.185,0.22,0.2319,CS
1985,1,0.0604,0.094,0.1166,0.1408,0.1536,0.1584,0.1688,0.2153,0.196,CS
1986,1,0.0642,0.1136,0.1394,0.1539,0.1712,0.191,0.1903,0.2047,0.285,CS
1987,1,0.0707,0.1036,0.1319,0.1465,0.1602,0.1645,0.1718,0.1757,0.1844,CS
1988,1,0.06,0.0934,0.1348,0.1593,0.168,0.1841,0.2021,0.2219,0.192,CS
1989,1,0.0507,0.0882,0.1067,0.1462,0.1482,0.1839,0.16,0.2075,0.2179,CS
1990,1,0.0725,0.0975,0.1176,0.1354,0.1518,0.1701,0.1816,0.162,0.167,CS
1991,1,0.0577,0.0995,0.1171,0.1275,0.1376,0.1593,0.1477,0.1756,0.1883,CS
1992,1,0.063,0.0949,0.1207,0.1349,0.1509,0.159,0.1742,0.1759,0.1959,CS
1993,1,0.0772,0.1169,0.1248,0.1471,0.1642,0.169,0.1781,0.2084,0.2244,CS
1994,1,0.0691,0.0959,0.1205,0.1263,0.1412,0.1492,0.1499,0.155,0.1896,CS
1995,1,0.062,0.1009,0.1469,0.1451,0.1581,0.1693,0.1877,0.181,0.1921,CS
1996,1,0.0559,0.0904,0.111,0.1413,0.1381,0.1499,0.1565,0.1652,0.1981,CS
1997,1,0.0569,0.0858,0.1082,0.1288,0.1591,0.1592,0.1697,0.1814,0.168,CS
1998,1,0.0735,0.0794,0.0795,0.1116,0.126,0.1535,0.1635,0.172,0.1944,CS
1999,1,0.0567,0.093,0.1018,0.1103,0.1287,0.1435,0.199,0.1709,0.1884,CS
2000,1,0.0559,0.0827,0.0885,0.1089,0.1255,0.1395,0.1753,0.1741,0.1882,CS
2001,1,0.0507,0.0774,0.0906,0.1022,0.1214,0.1323,0.174,0.1727,0.1874,CS
2002,1,0.0587,0.0837,0.0937,0.1123,0.1321,0.1456,0.1763,0.1742,0.1853,CS
2003,1,0.0591,0.0849,0.1022,0.1211,0.1333,0.1398,0.1436,0.152,0.159,CS
2004,1,0.0587,0.09,0.1065,0.1194,0.1373,0.1538,0.161,0.1688,0.1705,CS
2005,1,0.0566,0.0837,0.0963,0.1128,0.1299,0.1422,0.166,0.1684,0.1781,CS
2006,1,0.0494,0.0698,0.0893,0.0953,0.116,0.1144,0.135,0.1672,0.1761,CS
2007,1,0.051,0.0829,0.0945,0.1005,0.1122,0.1338,0.1306,0.1661,0.1738,CS
2008,1,0.0535,0.07,0.0864,0.0998,0.1091,0.1255,0.1375,0.1645,0.132,CS
2009,1,0.0539,0.0793,0.0946,0.1056,0.1209,0.1339,0.146,0.167,0.1661,CS
2010,1,0.0545,0.0807,0.0964,0.109,0.1241,0.1312,0.148,0.119,0.166,CS
2011,1,0.0525,0.0765,0.0922,0.102,0.1165,0.1278,0.1394,0.1568,0.1628,CS
2012,1,0.0577,0.0679,0.0871,0.102,0.1213,0.1282,0.1196,0.164,0.151,CS
2013,1,0.0544,0.0783,0.0905,0.103,0.1084,0.1254,0.1507,0.1352,0.1556,CS
2014,1,0.052,0.0786,0.0986,0.1047,0.1139,0.1213,0.1356,0.1312,0.1227,CS
2015,1,0.0614,0.0753,0.0907,0.1028,0.1052,0.1137,0.1217,0.1168,0.126,CS
2016,1,0.0556,0.0753,0.0918,0.1029,0.113,0.1233,0.1334,0.1408,0.1436,CS
2017,1,0.0597,0.0786,0.0927,0.1129,0.1241,0.1347,0.15,0.1545,0.143,CS
2018,1,0.0566,0.0772,0.0929,0.1053,0.1129,0.1237,0.1383,0.1357,0.1382,CS
2019,1,0.074,0.0684,0.0825,0.0948,0.128,0.1233,0.1097,0.1358,0.1347,CS
1951,2,0.058,0.0673,0.0849,0.0986,0.114,0.1257,0.1419,0.096,0.1585,JPS
1952,2,0.0398,0.0778,0.1009,0.1162,0.1353,0.1522,0.143,0.096,0.1585,JPS
1953,2,0.0489,0.0726,0.0929,0.1074,0.1246,0.139,0.1424,0.096,0.1585,JPS
1954,2,0.0489,0.0726,0.0929,0.1074,0.1246,0.139,0.1424,0.096,0.1585,JPS
1955,2,0.0489,0.0726,0.0929,0.1074,0.1246,0.139,0.1424,0.096,0.1585,JPS
1956,2,0.043,0.0878,0.1099,0.1211,0.1474,0.1604,0.1663,0.096,0.1585,JPS
1957,2,0.0418,0.0872,0.1198,0.1359,0.1436,0.1646,0.1663,0.1803,0.1585,JPS
1958,2,0.0463,0.0786,0.1017,0.1158,0.133,0.1484,0.152,0.1129,0.1585,JPS
1959,2,0.062,0.088,0.0984,0.1171,0.1347,0.1503,0.1539,0.1162,0.1585,JPS
1960,2,0.0484,0.0828,0.1045,0.1195,0.1367,0.1525,0.1562,0.1203,0.1585,JPS
1961,2,0.0483,0.0849,0.1068,0.1219,0.1391,0.1553,0.1589,0.1251,0.1585,JPS
1962,2,0.0534,0.0914,0.1156,0.1363,0.1572,0.1503,0.168,0.131,0.1585,JPS
1963,2,0.058,0.0879,0.1185,0.1436,0.1659,0.1619,0.1578,0.173,0.184,JPS
1964,2,0.057,0.0917,0.1099,0.136,0.162,0.1827,0.159,0.1331,0.1636,JPS
1965,2,0.0565,0.0966,0.1137,0.1448,0.1862,0.1824,0.2565,0.1365,0.1646,JPS
1966,2,0.0546,0.0905,0.1129,0.1365,0.1621,0.1665,0.18,0.1398,0.1658,JPS
1967,2,0.0559,0.0916,0.1141,0.1394,0.1667,0.1688,0.1843,0.1427,0.1673,JPS
1968,2,0.0564,0.0917,0.1138,0.1401,0.1686,0.1724,0.1875,0.145,0.1691,JPS
1969,2,0.0561,0.0924,0.1129,0.1394,0.1691,0.1746,0.1935,0.1394,0.1661,JPS
1970,2,0.0559,0.0926,0.1135,0.14,0.1705,0.1729,0.2004,0.1407,0.1666,JPS
1971,2,0.0558,0.0917,0.1134,0.1391,0.1674,0.171,0.1891,0.1415,0.167,JPS
1972,2,0.0619,0.1075,0.1539,0.1845,0.2217,0.2467,0.259,0.246,0.1672,JPS
1973,2,0.0705,0.1026,0.1487,0.1816,0.2214,0.2358,0.2454,0.1625,0.1672,JPS
1974,2,0.1095,0.0883,0.1267,0.1629,0.2028,0.2229,0.2423,0.254,0.1668,JPS
1975,2,0.0528,0.086,0.1165,0.1487,0.1851,0.2026,0.1978,0.2302,0.167,JPS
1976,2,0.0534,0.0993,0.1226,0.1466,0.1776,0.205,0.2349,0.225,0.167,JPS
1977,2,0.0696,0.1018,0.1325,0.1471,0.1672,0.1904,0.2133,0.2268,0.167,JPS
1978,2,0.075,0.0947,0.1295,0.152,0.168,0.1807,0.1947,0.2197,0.167,JPS
1979,2,0.0593,0.1044,0.1305,0.1605,0.1729,0.1889,0.2081,0.2028,0.222,JPS
1980,2,0.0532,0.0838,0.1016,0.1421,0.1693,0.1785,0.1858,0.1955,0.178,JPS
1981,2,0.0627,0.0991,0.1161,0.1366,0.1604,0.1768,0.1776,0.2011,0.216,JPS
1982,2,0.078,0.1063,0.1197,0.1274,0.1377,0.1609,0.1673,0.1839,0.2105,JPS
1983,2,0.0678,0.1002,0.1244,0.142,0.155,0.1648,0.1756,0.1985,0.208,JPS
1984,2,0.0627,0.0937,0.1162,0.1335,0.1384,0.1513,0.1713,0.1809,0.1953,JPS
1985,2,0.0698,0.103,0.1292,0.1485,0.1639,0.1669,0.1862,0.2035,0.208,JPS
