"Year","Gear","Area","a1","a2","a3","a4","a5","a6","a7","a8","a9","a10"
50,1,1,3,326,4413,2371,556,110,27,8,2,0
1951,1,1,7,1008,4997,2262,608,119,24,6,1,0
1952,1,1,13,422,1172,717,94,20,4,2,0,0
1953,1,1,11,651,9766,6669,1790,517,134,27,3,0
1954,1,1,0,188,2284,1606,272,47,8,2,0,0
1955,1,1,0,587,2945,2083,734,124,18,2,0,0
1956,1,1,1,237,4501,3031,2624,807,116,27,6,5
1957,1,1,0,433,3063,1283,348,239,75,9,2,0
1958,1,1,76,1943,8217,2134,433,230,167,35,5,1
1959,1,1,0,299,1953,1374,133,20,6,3,0,1
1960,1,1,0,958,885,804,297,40,6,0,0,0
1961,1,1,0,724,2783,999,702,295,47,5,0,0
1962,1,1,0,374,1115,675,89,57,22,9,0,0
1963,1,1,2,322,2856,1467,172,46,14,3,0,0
1964,1,1,4,484,1872,1032,137,35,12,8,0,0
1965,1,1,0,373,514,374,143,34,12,0,0,0
1966,1,1,0,0,11,1,0,0,0,0,0,0
1971,1,1,1,220,546,566,279,55,21,2,1,0
1972,1,1,0,200,1144,923,547,127,37,6,1,0
1973,1,1,5,21,938,1308,1068,550,75,11,1,0
1974,1,1,0,15,63,7,1,0,0,0,0,0
1975,1,1,7,345,1036,1535,809,236,114,38,18,2
1976,1,1,16,116,1076,722,421,122,36,15,5,1
1977,1,1,1,67,1179,1120,388,201,66,10,7,5
1978,1,1,0,71,784,1660,1153,352,168,50,8,4
1979,1,1,29,118,1857,1286,1039,418,122,53,18,6
1980,1,1,0,254,2373,2098,1091,561,193,45,12,1
1981,1,1,0,85,964,802,408,145,96,23,2,3
1982,1,1,0,64,403,636,458,257,93,110,58,11
1983,1,1,0,263,545,423,321,153,63,19,8,6
1984,1,1,0,721,1081,494,192,78,26,9,2,0
1985,1,1,0,116,501,177,50,15,3,1,0,0
1986,1,1,0,192,306,273,88,17,4,2,0,0
1987,1,1,2,32,550,158,140,25,6,2,1,0
1988,1,1,0,278,174,450,74,62,9,2,0,0
1989,1,1,0,37,427,102,144,16,19,0,0,0
1990,1,1,0,101,223,265,51,50,7,1,0,0
1991,1,1,0,92,589,140,62,10,1,2,0,0
1992,1,1,0,252,302,316,67,26,3,6,1,0
1993,1,1,84,43,287,134,81,9,5,0,0,0
1994,1,1,0,222,311,409,123,54,8,2,0,1
1995,1,1,4,491,839,203,159,41,18,3,0,0
1996,1,1,114,54,201,50,10,3,1,2,1,0
1997,1,1,0,129,882,650,105,14,7,1,1,0
1998,1,1,75,158,413,639,195,44,8,3,0,0
1999,1,1,0,270,591,224,131,34,12,0,0,0
2000,1,1,2,249,614,313,164,69,20,2,3,0
2001,1,1,0,60,716,346,96,37,15,7,1,1
2002,1,1,1,97,568,307,74,16,3,1,0,0
2003,1,1,0,75,362,340,119,30,6,2,2,0
2004,1,1,0,47,214,240,117,30,11,1,1,0
2005,1,1,1,45,146,125,116,54,19,4,2,0
2006,1,1,0,97,132,98,39,19,8,0,0,0
2007,1,1,1,253,590,780,224,48,20,3,1,0
2008,1,1,0,89,309,709,160,47,16,14,0,0
2009,1,1,8,38,539,350,67,25,9,1,2,0
2010,1,1,1,257,219,476,47,12,3,1,1,0
2011,1,1,118,421,2255,1300,196,84,12,3,0,0
2012,1,1,63,706,1740,1406,502,97,32,4,0,0
2013,1,1,1,407,2012,826,474,197,21,15,2,0
2014,1,1,4,468,1113,575,207,92,24,7,1,0
2015,1,1,8,421,1356,1490,546,185,76,12,3,1
2016,1,1,252,883,1317,1226,866,341,74,13,2,0
2017,1,1,393,397,1408,808,513,253,67,8,5,1
2018,1,1,40,793,1651,830,371,191,83,17,4,2
2019,1,1,1,601,843,491,222,108,45,16,2,0
2046,1,1,102,349,2397,1802,299,39,7,3,1,0
2047,1,1,40,148,3427,2272,796,178,31,5,0,0
2048,1,1,2,87,2370,563,79,19,0,0,0,1
2049,1,1,1,71,3081,1259,197,30,7,1,0,0
1972,2,1,0,428,1819,1655,903,174,50,6,1,0
1973,2,1,0,16,208,81,49,23,2,0,0,0
1975,2,1,52,191,2852,1452,408,174,83,25,9,0
1976,2,1,0,135,279,456,166,38,26,17,5,1
1977,2,1,2,79,1315,474,341,91,30,18,6,3
1978,2,1,1,29,1209,1477,396,253,47,10,1,2
1979,2,1,0,23,282,461,394,132,73,29,9,6
1980,2,1,0,103,2061,656,733,408,107,51,11,5
1981,2,1,0,579,2887,2366,877,743,289,49,22,2
1982,2,1,35,371,1875,1354,1127,253,282,135,30,4
1983,2,1,0,358,3759,3407,2134,1372,381,366,150,35
1984,2,1,8,894,2869,2101,935,515,242,81,35,11
1985,2,1,0,2818,3815,1558,651,276,108,47,5,1
1986,2,1,86,818,3603,1423,396,123,48,9,5,0
