"Year","Area","Gear","a1","a2","a3","a4","a5","a6","a7","a8","a9","a10"
1951,1,1,0.013,0.043,0.09,0.114,0.138,0.16,0.176,0.168,0.178,0.201
1952,1,1,0.012,0.031,0.08,0.099,0.122,0.145,0.165,0.15,0.189,0.201
1953,1,1,0.017,0.05,0.085,0.107,0.13,0.148,0.161,0.193,0.185,0.201
1954,1,1,0.017,0.05,0.085,0.107,0.13,0.148,0.162,0.162,0.189,0.201
1955,1,1,0.017,0.047,0.085,0.104,0.125,0.145,0.167,0.178,0.189,0.201
1956,1,1,0.01,0.043,0.083,0.11,0.127,0.148,0.165,0.182,0.179,0.198
1957,1,1,0.017,0.05,0.085,0.107,0.148,0.148,0.178,0.189,0.188,0.201
1958,1,1,0.022,0.049,0.08,0.101,0.133,0.151,0.162,0.176,0.188,0.144
1959,1,1,0.017,0.05,0.091,0.113,0.126,0.157,0.134,0.177,0.189,0.143
1960,1,1,0.017,0.06,0.084,0.119,0.133,0.149,0.15,0.177,0.189,0.201
1961,1,1,0.017,0.051,0.087,0.101,0.128,0.151,0.169,0.185,0.189,0.201
1962,1,1,0.017,0.048,0.086,0.107,0.128,0.157,0.175,0.181,0.189,0.201
1963,1,1,0.021,0.051,0.095,0.114,0.133,0.149,0.187,0.154,0.189,0.201
1964,1,1,0.018,0.059,0.103,0.119,0.136,0.152,0.164,0.14,0.189,0.201
1965,1,1,0.017,0.041,0.094,0.123,0.157,0.159,0.194,0.177,0.189,0.201
1966,1,1,0.017,0.05,0.032,0.036,0.13,0.148,0.161,0.177,0.189,0.201
1967,1,1,0.017,0.05,0.085,0.107,0.13,0.148,0.161,0.177,0.189,0.201
1968,1,1,0.017,0.05,0.085,0.107,0.13,0.148,0.161,0.177,0.189,0.201
1969,1,1,0.017,0.05,0.085,0.107,0.13,0.148,0.161,0.177,0.189,0.201
1970,1,1,0.017,0.05,0.085,0.107,0.13,0.148,0.161,0.177,0.189,0.201
1971,1,1,0.008,0.072,0.085,0.107,0.13,0.176,0.178,0.212,0.18,0.201
1972,1,1,0.017,0.055,0.095,0.128,0.15,0.167,0.172,0.202,0.194,0.201
1973,1,1,0.009,0.053,0.1,0.129,0.13,0.176,0.195,0.198,0.208,0.201
1974,1,1,0.017,0.064,0.08,0.114,0.199,0.148,0.161,0.177,0.189,0.201
1975,1,1,0.008,0.045,0.081,0.128,0.151,0.175,0.194,0.215,0.227,0.23
1976,1,1,0.01,0.051,0.085,0.107,0.142,0.169,0.187,0.195,0.21,0.217
1977,1,1,0.007,0.05,0.089,0.116,0.137,0.157,0.174,0.173,0.197,0.244
1978,1,1,0.017,0.061,0.092,0.119,0.14,0.157,0.172,0.197,0.212,0.24
1979,1,1,0.034,0.05,0.085,0.107,0.13,0.148,0.177,0.188,0.198,0.226
1980,1,1,0.017,0.058,0.087,0.113,0.13,0.158,0.175,0.189,0.2,0.21
1981,1,1,0.017,0.07,0.103,0.126,0.148,0.171,0.188,0.196,0.16,0.2
1982,1,1,0.017,0.054,0.101,0.133,0.153,0.167,0.178,0.195,0.205,0.207
1983,1,1,0.017,0.067,0.107,0.137,0.159,0.171,0.176,0.183,0.185,0.214
1984,1,1,0.017,0.069,0.093,0.124,0.141,0.156,0.169,0.175,0.181,0.201
1985,1,1,0.017,0.071,0.103,0.124,0.154,0.157,0.202,0.238,0.189,0.201
1986,1,1,0.017,0.066,0.1,0.127,0.153,0.17,0.19,0.201,0.189,0.201
1987,1,1,0.008,0.066,0.098,0.118,0.141,0.15,0.163,0.178,0.181,0.201
1988,1,1,0.017,0.072,0.099,0.124,0.146,0.157,0.164,0.165,0.189,0.201
1989,1,1,0.017,0.057,0.085,0.112,0.136,0.166,0.156,0.177,0.189,0.201
1990,1,1,0.017,0.07,0.098,0.118,0.131,0.137,0.135,0.188,0.189,0.201
1991,1,1,0.017,0.065,0.085,0.115,0.136,0.133,0.184,0.15,0.189,0.201
1992,1,1,0.017,0.052,0.099,0.122,0.134,0.153,0.167,0.166,0.178,0.201
1993,1,1,0.026,0.059,0.087,0.112,0.13,0.151,0.15,0.177,0.189,0.201
1994,1,1,0.017,0.065,0.094,0.116,0.131,0.142,0.149,0.136,0.189,0.181
1995,1,1,0.021,0.06,0.085,0.106,0.12,0.133,0.142,0.176,0.189,0.201
1996,1,1,0.012,0.035,0.074,0.087,0.109,0.096,0.125,0.12,0.146,0.201
1997,1,1,0.017,0.048,0.077,0.095,0.11,0.113,0.122,0.144,0.125,0.201
1998,1,1,0.013,0.042,0.085,0.101,0.113,0.124,0.136,0.136,0.189,0.201
1999,1,1,0.017,0.055,0.074,0.087,0.105,0.115,0.104,0.177,0.189,0.201
2000,1,1,0.01,0.049,0.082,0.101,0.117,0.138,0.149,0.152,0.142,0.201
2001,1,1,0.017,0.06,0.085,0.099,0.112,0.136,0.14,0.163,0.173,0.059
2002,1,1,0.012,0.047,0.085,0.093,0.111,0.117,0.108,0.139,0.189,0.201
2003,1,1,0.017,0.041,0.075,0.091,0.101,0.101,0.124,0.11,0.059,0.201
2004,1,1,0.017,0.052,0.077,0.089,0.101,0.111,0.126,0.132,0.128,0.201
2005,1,1,0.042,0.045,0.075,0.094,0.106,0.114,0.127,0.138,0.145,0.201
2006,1,1,0.017,0.065,0.077,0.09,0.101,0.115,0.127,0.177,0.189,0.201
2007,1,1,0.016,0.026,0.08,0.089,0.093,0.11,0.114,0.123,0.15,0.201
2008,1,1,0.017,0.027,0.063,0.107,0.095,0.104,0.112,0.114,0.189,0.201
2009,1,1,0.01,0.034,0.058,0.075,0.086,0.108,0.123,0.11,0.089,0.201
2010,1,1,0.022,0.044,0.061,0.073,0.081,0.103,0.11,0.093,0.113,0.201
2011,1,1,0.018,0.035,0.07,0.085,0.086,0.091,0.091,0.119,0.189,0.201
2012,1,1,0.01,0.044,0.069,0.087,0.1,0.096,0.116,0.108,0.189,0.201
2013,1,1,0.021,0.049,0.076,0.089,0.109,0.126,0.125,0.132,0.174,0.201
2014,1,1,0.017,0.033,0.075,0.085,0.102,0.12,0.113,0.128,0.179,0.201
2015,1,1,0.018,0.05,0.071,0.082,0.091,0.102,0.113,0.123,0.114,0.112
2016,1,1,0.018,0.045,0.07,0.084,0.094,0.103,0.112,0.115,0.114,0.201
2017,1,1,0.018,0.051,0.075,0.089,0.099,0.108,0.119,0.121,0.136,0.08
2018,1,1,0.015,0.055,0.072,0.087,0.1,0.11,0.117,0.127,0.135,0.122
2019,1,1,0.018,0.059,0.072,0.093,0.107,0.118,0.118,0.118,0.121,0.201
1951,1,2,0.012,0.055,0.08,0.098,0.116,0.131,0.144,0.155,0.164,0.178
1952,1,2,0.012,0.055,0.08,0.098,0.116,0.131,0.144,0.155,0.164,0.178
1953,1,2,0.012,0.055,0.08,0.098,0.116,0.131,0.144,0.155,0.164,0.178
1954,1,2,0.012,0.055,0.08,0.098,0.116,0.131,0.144,0.155,0.164,0.178
1955,1,2,0.012,0.055,0.08,0.098,0.116,0.131,0.144,0.155,0.164,0.178
1956,1,2,0.012,0.055,0.08,0.098,0.116,0.131,0.144,0.155,0.164,0.178
1957,1,2,0.012,0.055,0.08,0.098,0.116,0.131,0.144,0.155,0.164,0.178
1958,1,2,0.012,0.055,0.08,0.098,0.116,0.131,0.144,0.155,0.164,0.178
1959,1,2,0.012,0.055,0.08,0.098,0.116,0.131,0.144,0.155,0.164,0.178
1960,1,2,0.012,0.055,0.08,0.098,0.116,0.131,0.144,0.155,0.164,0.178
1961,1,2,0.012,0.055,0.08,0.098,0.116,0.131,0.144,0.155,0.164,0.178
1962,1,2,0.012,0.055,0.08,0.098,0.116,0.131,0.144,0.155,0.164,0.178
1963,1,2,0.012,0.055,0.08,0.098,0.116,0.131,0.144,0.155,0.164,0.178
1964,1,2,0.012,0.055,0.08,0.098,0.116,0.131,0.144,0.155,0.164,0.178
1965,1,2,0.012,0.055,0.08,0.098,0.116,0.131,0.144,0.155,0.164,0.178
1966,1,2,0.012,0.055,0.08,0.098,0.116,0.131,0.144,0.155,0.164,0.178
1967,1,2,0.012,0.055,0.08,0.098,0.116,0.131,0.144,0.155,0.164,0.178
1968,1,2,0.012,0.055,0.08,0.098,0.116,0.131,0.144,0.155,0.164,0.178
1969,1,2,0.012,0.055,0.08,0.098,0.116,0.131,0.144,0.155,0.164,0.178
1970,1,2,0.012,0.055,0.08,0.098,0.116,0.131,0.144,0.155,0.164,0.178
1971,1,2,0.012,0.055,0.08,0.098,0.116,0.131,0.144,0.155,0.164,0.178
1972,1,2,0.012,0.053,0.08,0.098,0.116,0.16,0.175,0.193,0.19,0.178
1973,1,2,0.012,0.057,0.093,0.13,0.155,0.177,0.2,0.155,0.164,0.178
1974,1,2,0.012,0.055,0.08,0.098,0.116,0.131,0.144,0.155,0.164,0.178
1975,1,2,0.007,0.046,0.08,0.112,0.143,0.172,0.195,0.2,0.215,0.178
1976,1,2,0.012,0.05,0.071,0.107,0.126,0.158,0.184,0.188,0.212,0.197
1977,1,2,0.006,0.065,0.086,0.115,0.136,0.158,0.194,0.204,0.199,0.224
1978,1,2,0.013,0.056,0.084,0.098,0.13,0.149,0.161,0.166,0.213,0.192
1979,1,2,0.012,0.058,0.077,0.114,0.138,0.163,0.176,0.198,0.197,0.216
1980,1,2,0.012,0.055,0.08,0.098,0.128,0.131,0.165,0.155,0.177,0.206
1981,1,2,0.012,0.059,0.082,0.104,0.129,0.15,0.166,0.18,0.18,0.192
1982,1,2,0.009,0.059,0.089,0.106,0.119,0.137,0.151,0.163,0.168,0.189
1983,1,2,0.012,0.058,0.085,0.112,0.13,0.137,0.151,0.162,0.176,0.195
1984,1,2,0.017,0.059,0.085,0.11,0.133,0.152,0.155,0.163,0.174,0.195
1985,1,2,0.012,0.06,0.084,0.111,0.133,0.157,0.17,0.189,0.197,0.232
1986,1,2,0.011,0.065,0.087,0.109,0.13,0.148,0.17,0.193,0.195,0.178
1987,1,2,0.014,0.06,0.085,0.103,0.12,0.134,0.149,0.164,0.155,0.175
1988,1,2,0.012,0.057,0.087,0.112,0.128,0.14,0.154,0.162,0.206,0.178
1989,1,2,0.011,0.061,0.08,0.098,0.125,0.136,0.145,0.155,0.158,0.182
1990,1,2,0.01,0.058,0.08,0.104,0.127,0.145,0.157,0.161,0.146,0.226
1991,1,2,0.013,0.061,0.08,0.109,0.128,0.143,0.156,0.164,0.151,0.185
1992,1,2,0.01,0.059,0.089,0.098,0.131,0.149,0.159,0.175,0.174,0.198
1993,1,2,0.014,0.057,0.08,0.098,0.128,0.14,0.152,0.156,0.158,0.148
1994,1,2,0.015,0.051,0.08,0.104,0.12,0.134,0.14,0.151,0.161,0.178
1995,1,2,0.012,0.059,0.08,0.098,0.116,0.145,0.162,0.164,0.179,0.174
1996,1,2,0.014,0.062,0.082,0.106,0.116,0.147,0.157,0.172,0.169,0.177
1997,1,2,0.013,0.047,0.082,0.102,0.12,0.137,0.147,0.155,0.169,0.176
1998,1,2,0.004,0.05,0.072,0.094,0.108,0.12,0.133,0.144,0.156,0.148
1999,1,2,0.012,0.046,0.079,0.099,0.114,0.126,0.134,0.145,0.151,0.139
2000,1,2,0.017,0.053,0.072,0.097,0.111,0.129,0.141,0.153,0.162,0.163
2001,1,2,0.012,0.059,0.084,0.098,0.119,0.132,0.148,0.153,0.142,0.144
2002,1,2,0.014,0.048,0.079,0.096,0.108,0.127,0.134,0.141,0.164,0.178
2003,1,2,0.014,0.055,0.077,0.093,0.105,0.112,0.128,0.142,0.148,0.178
2004,1,2,0.014,0.042,0.071,0.088,0.099,0.109,0.111,0.124,0.121,0.132
2005,1,2,0.012,0.047,0.08,0.091,0.107,0.118,0.124,0.13,0.122,0.137
2006,1,2,0.025,0.045,0.08,0.087,0.102,0.111,0.119,0.127,0.136,0.178
2007,1,2,0.008,0.052,0.074,0.082,0.1,0.115,0.144,0.13,0.143,0.134
2008,1,2,0.019,0.031,0.066,0.098,0.093,0.103,0.11,0.117,0.131,0.124
2009,1,2,0.012,0.051,0.066,0.098,0.105,0.131,0.126,0.135,0.154,0.178
2010,1,2,0.013,0.039,0.058,0.08,0.085,0.112,0.118,0.115,0.118,0.141
2011,1,2,0.013,0.039,0.069,0.072,0.091,0.097,0.112,0.119,0.143,0.122
2012,1,2,0.012,0.055,0.072,0.082,0.085,0.095,0.101,0.109,0.124,0.178
2013,1,2,0.069,0.054,0.07,0.089,0.102,0.107,0.115,0.121,0.128,0.122
2014,1,2,0.012,0.034,0.077,0.089,0.106,0.114,0.119,0.123,0.123,0.111
2015,1,2,0.012,0.051,0.068,0.079,0.088,0.1,0.109,0.113,0.106,0.178
2016,1,2,0.015,0.049,0.075,0.086,0.093,0.104,0.12,0.131,0.123,0.11
2017,1,2,0.012,0.05,0.071,0.086,0.093,0.1,0.106,0.107,0.116,0.117
2018,1,2,0.013,0.054,0.075,0.088,0.102,0.106,0.111,0.12,0.136,0.178
2019,1,2,0.02,0.057,0.074,0.093,0.103,0.113,0.119,0.121,0.127,0.141
1951,1,3,0.01,0.064,0.108,0.123,0.131,0.136,0.141,0.145,0.147,0.153
1952,1,3,0.01,0.064,0.108,0.123,0.131,0.136,0.141,0.145,0.147,0.153
1953,1,3,0.01,0.064,0.108,0.123,0.131,0.136,0.141,0.145,0.147,0.153
1954,1,3,0.01,0.064,0.108,0.123,0.131,0.136,0.141,0.145,0.147,0.153
1955,1,3,0.01,0.064,0.108,0.123,0.131,0.136,0.141,0.145,0.147,0.153
1956,1,3,0.01,0.064,0.108,0.123,0.131,0.136,0.141,0.145,0.147,0.153
1957,1,3,0.01,0.064,0.108,0.123,0.131,0.136,0.141,0.145,0.147,0.153
1958,1,3,0.01,0.064,0.108,0.123,0.131,0.136,0.141,0.145,0.147,0.153
1959,1,3,0.01,0.064,0.108,0.123,0.131,0.136,0.141,0.145,0.147,0.153
1960,1,3,0.01,0.064,0.108,0.123,0.131,0.136,0.141,0.145,0.147,0.153
1961,1,3,0.01,0.064,0.108,0.123,0.131,0.136,0.141,0.145,0.147,0.153
1962,1,3,0.01,0.064,0.108,0.123,0.131,0.136,0.141,0.145,0.147,0.153
1963,1,3,0.01,0.064,0.108,0.123,0.131,0.136,0.141,0.145,0.147,0.153
1964,1,3,0.01,0.064,0.108,0.123,0.131,0.136,0.141,0.145,0.147,0.153
1965,1,3,0.01,0.064,0.108,0.123,0.131,0.136,0.141,0.145,0.147,0.153
1966,1,3,0.01,0.064,0.108,0.123,0.131,0.136,0.141,0.145,0.147,0.153
1967,1,3,0.01,0.064,0.108,0.123,0.131,0.136,0.141,0.145,0.147,0.153
1968,1,3,0.01,0.064,0.108,0.123,0.131,0.136,0.141,0.145,0.147,0.153
1969,1,3,0.01,0.064,0.108,0.123,0.131,0.136,0.141,0.145,0.147,0.153
1970,1,3,0.01,0.064,0.108,0.123,0.131,0.136,0.141,0.145,0.147,0.153
1971,1,3,0.01,0.064,0.108,0.123,0.131,0.136,0.141,0.145,0.147,0.153
1972,1,3,0.01,0.06,0.103,0.143,0.154,0.17,0.177,0.189,0.208,0.153
1973,1,3,0.01,0.064,0.118,0.138,0.162,0.173,0.191,0.183,0.147,0.153
1974,1,3,0.01,0.064,0.128,0.15,0.161,0.17,0.174,0.187,0.147,0.153
1975,1,3,0.01,0.064,0.133,0.141,0.155,0.172,0.182,0.202,0.147,0.153
1976,1,3,0.01,0.064,0.111,0.139,0.151,0.162,0.175,0.18,0.195,0.153
1977,1,3,0.01,0.064,0.124,0.143,0.152,0.158,0.173,0.198,0.188,0.153
1978,1,3,0.01,0.064,0.092,0.129,0.146,0.157,0.141,0.186,0.196,0.153
1979,1,3,0.01,0.064,0.132,0.145,0.152,0.163,0.172,0.184,0.147,0.182
1980,1,3,0.01,0.064,0.102,0.13,0.143,0.136,0.165,0.172,0.15,0.153
1981,1,3,0.01,0.062,0.11,0.13,0.147,0.159,0.17,0.177,0.181,0.179
1982,1,3,0.01,0.064,0.124,0.133,0.144,0.156,0.166,0.169,0.174,0.177
1983,1,3,0.01,0.064,0.124,0.135,0.149,0.16,0.173,0.177,0.194,0.217
1984,1,3,0.01,0.064,0.116,0.13,0.146,0.155,0.163,0.181,0.164,0.182
1985,1,3,0.01,0.077,0.117,0.136,0.144,0.159,0.162,0.161,0.173,0.171
1986,1,3,0.01,0.064,0.108,0.123,0.131,0.136,0.141,0.145,0.147,0.153
1987,1,3,0.01,0.064,0.123,0.137,0.145,0.154,0.158,0.169,0.182,0.18
1988,1,3,0.01,0.064,0.122,0.139,0.144,0.151,0.162,0.169,0.158,0.212
