Year,Spawn,Gear,Area,Group,Sex,Weight,Timing,Stock
1951,66.143,4,1,1,0,1,1,SOG
1952,72.376,4,1,1,0,1,1,SOG
1953,111.307,4,1,1,0,1,1,SOG
1954,82.141,4,1,1,0,1,1,SOG
1955,69.854,4,1,1,0,1,1,SOG
1956,25.667,4,1,1,0,1,1,SOG
1957,24.465,4,1,1,0,1,1,SOG
1958,16.911,4,1,1,0,1,1,SOG
1959,47.864,4,1,1,0,1,1,SOG
1960,55.709,4,1,1,0,1,1,SOG
1961,44.326,4,1,1,0,1,1,SOG
1962,35.596,4,1,1,0,1,1,SOG
1963,37.381,4,1,1,0,1,1,SOG
1964,35.954,4,1,1,0,1,1,SOG
1965,38.39,4,1,1,0,1,1,SOG
1966,7.211,4,1,1,0,1,1,SOG
1967,9.647,4,1,1,0,1,1,SOG
1968,9.442,4,1,1,0,1,1,SOG
1969,14.039,4,1,1,0,1,1,SOG
1970,34.163,4,1,1,0,1,1,SOG
1971,38.921,4,1,1,0,1,1,SOG
1972,25.139,4,1,1,0,1,1,SOG
1973,16.191,4,1,1,0,1,1,SOG
1974,40.571,4,1,1,0,1,1,SOG
1975,70.208,4,1,1,0,1,1,SOG
1976,60.996,4,1,1,0,1,1,SOG
1977,78.113,4,1,1,0,1,1,SOG
1978,101.784,4,1,1,0,1,1,SOG
1979,63.973,4,1,1,0,1,1,SOG
1980,85.679,4,1,1,0,1,1,SOG
1981,54.754,4,1,1,0,1,1,SOG
1982,101.025,4,1,1,0,1,1,SOG
1983,66.201,4,1,1,0,1,1,SOG
1984,26.054,4,1,1,0,1,1,SOG
1985,25.024,4,1,1,0,1,1,SOG
1986,41.575,4,1,1,0,1,1,SOG
1987,41.737,4,1,1,0,1,1,SOG
1988,24.976,5,1,1,0,1.1666,1,SOG
1989,66.052,5,1,1,0,1.1666,1,SOG
1990,67.15,5,1,1,0,1.1666,1,SOG
1991,45.827,5,1,1,0,1.1666,1,SOG
1992,82.71,5,1,1,0,1.1666,1,SOG
1993,90.197,5,1,1,0,1.1666,1,SOG
1994,67.138,5,1,1,0,1.1666,1,SOG
1995,64.898,5,1,1,0,1.1666,1,SOG
1996,71.346,5,1,1,0,1.1666,1,SOG
1997,58.296,5,1,1,0,1.1666,1,SOG
1998,74.616,5,1,1,0,1.1666,1,SOG
1999,85.094,5,1,1,0,1.1666,1,SOG
2000,72.688,5,1,1,0,1.1666,1,SOG
2001,100.248,5,1,1,0,1.1666,1,SOG
2002,117.862,5,1,1,0,1.1666,1,SOG
2003,152.15,5,1,1,0,1.1666,1,SOG
2004,122.839,5,1,1,0,1.1666,1,SOG
2005,102.651,5,1,1,0,1.1666,1,SOG
2006,50.258,5,1,1,0,1.1666,1,SOG
2007,38.524,5,1,1,0,1.1666,1,SOG
2008,34.507,5,1,1,0,1.1666,1,SOG
2009,53.652,5,1,1,0,1.1666,1,SOG
2010,50.454,5,1,1,0,1.1666,1,SOG
2011,85.001,5,1,1,0,1.1666,1,SOG
2012,52.636,5,1,1,0,1.1666,1,SOG
2013,83.693,5,1,1,0,1.1666,1,SOG
2014,120.468,5,1,1,0,1.1666,1,SOG
2015,104.481,5,1,1,0,1.1666,1,SOG
2016,129.502,5,1,1,0,1.1666,1,SOG
2017,81.064,5,1,1,0,1.1666,1,SOG
2018,91.939,5,1,1,0,1.1666,1,SOG
2019,62.994,5,1,1,0,1.1666,1,SOG
