Year,Area,a2,a3,a4,a5,a6,a7,a8,a9,a10,Stock
1951,1,0.0417,0.0897,0.1126,0.1376,0.1586,0.1706,0.2001,0.1865,0.201,SOG
1952,1,0.0432,0.0896,0.1133,0.1385,0.1599,0.1756,0.1677,0.178,0.201,SOG
1953,1,0.0324,0.0762,0.0966,0.1269,0.1513,0.1599,0.1335,0.1822,0.201,SOG
1954,1,0.0431,0.0835,0.1068,0.1387,0.1654,0.1819,0.1962,0.1853,0.201,SOG
1955,1,0.0499,0.0894,0.1052,0.1284,0.1501,0.1717,0.1744,0.183,0.201,SOG
1956,1,0.047,0.0852,0.1083,0.1223,0.144,0.1613,0.1779,0.176,0.201,SOG
1957,1,0.0432,0.0832,0.1144,0.1413,0.1555,0.1724,0.212,0.194,0.192,SOG
1958,1,0.0454,0.0765,0.1106,0.1449,0.159,0.1658,0.1807,0.191,0.1965,SOG
1959,1,0.0491,0.0834,0.1011,0.1333,0.1581,0.176,0.1756,0.1805,0.144,SOG
1960,1,0.0499,0.0918,0.1138,0.1258,0.1568,0.134,0.177,0.1849,0.143,SOG
1961,1,0.0569,0.0797,0.1095,0.1257,0.1498,0.1707,0.181,0.1853,0.1753,SOG
1962,1,0.0493,0.0887,0.1042,0.1404,0.1528,0.1669,0.1838,0.1871,0.1702,SOG
1963,1,0.0472,0.0844,0.1057,0.123,0.1455,0.1818,0.179,0.1858,0.1658,SOG
1964,1,0.0549,0.0966,0.1148,0.1356,0.1605,0.1904,0.1628,0.1847,0.1597,SOG
1965,1,0.0582,0.1042,0.1215,0.1425,0.1455,0.1501,0.1168,0.1856,0.1628,SOG
1966,1,0.0484,0.1009,0.1372,0.1617,0.1691,0.1939,0.1647,0.1857,0.1667,SOG
1967,1,0.0516,0.095,0.1167,0.1406,0.1547,0.1766,0.1614,0.1858,0.165,SOG
1968,1,0.0521,0.0962,0.1192,0.1407,0.1551,0.1786,0.1569,0.1855,0.164,SOG
1969,1,0.053,0.0986,0.1219,0.1442,0.157,0.1779,0.1525,0.1854,0.1636,SOG
1970,1,0.0527,0.099,0.1233,0.146,0.1563,0.1754,0.1505,0.1856,0.1644,SOG
1971,1,0.0516,0.0979,0.1236,0.1466,0.1584,0.1805,0.1572,0.1856,0.1648,SOG
1972,1,0.0585,0.089,0.1274,0.1455,0.1646,0.1752,0.1994,0.185,0.1644,SOG
1973,1,0.0573,0.1001,0.129,0.1598,0.1754,0.1928,0.1981,0.201,0.1642,SOG
1974,1,0.0637,0.0799,0.1139,0.199,0.1623,0.1804,0.1715,0.1885,0.1643,SOG
1975,1,0.0421,0.0828,0.1115,0.1423,0.1694,0.1934,0.1995,0.2122,0.1644,SOG
1976,1,0.0495,0.0848,0.1236,0.1459,0.1743,0.1922,0.206,0.2248,0.2193,SOG
1977,1,0.0571,0.0888,0.1173,0.1389,0.1616,0.191,0.201,0.2027,0.2418,SOG
1978,1,0.0499,0.0854,0.1098,0.1315,0.1509,0.1662,0.1682,0.1992,0.2095,SOG
1979,1,0.0617,0.0868,0.1186,0.1405,0.1606,0.1755,0.1987,0.2052,0.2213,SOG
1980,1,0.0497,0.0788,0.1075,0.1318,0.1549,0.1668,0.1806,0.1904,0.2157,SOG
1981,1,0.0601,0.0856,0.1088,0.1346,0.1548,0.1705,0.1833,0.1798,0.1925,SOG
1982,1,0.061,0.0933,0.1127,0.1263,0.1496,0.1599,0.1671,0.1672,0.192,SOG
1983,1,0.0573,0.0864,0.1144,0.133,0.1406,0.1552,0.1688,0.1828,0.1978,SOG
1984,1,0.0606,0.0882,0.1146,0.1397,0.1565,0.1595,0.1669,0.1758,0.202,SOG
1985,1,0.0621,0.0863,0.1139,0.1348,0.1566,0.1703,0.1871,0.1926,0.232,SOG
1986,1,0.0661,0.0892,0.1106,0.1324,0.1492,0.1717,0.1971,0.1954,0.2032,SOG
1987,1,0.0608,0.0867,0.1051,0.1221,0.1365,0.1509,0.166,0.155,0.175,SOG
1988,1,0.0576,0.0889,0.1128,0.1299,0.1413,0.1549,0.1642,0.2006,0.202,SOG
1989,1,0.0644,0.0835,0.1064,0.1273,0.1388,0.1469,0.1561,0.158,0.182,SOG
1990,1,0.0577,0.0845,0.1056,0.1283,0.1468,0.1568,0.1609,0.1457,0.226,SOG
1991,1,0.062,0.0888,0.1099,0.1279,0.1426,0.1553,0.1634,0.1508,0.185,SOG
1992,1,0.0595,0.0903,0.1117,0.1318,0.1489,0.1593,0.1748,0.1739,0.198,SOG
1993,1,0.0563,0.0916,0.1116,0.1286,0.1411,0.1529,0.1565,0.16,0.1475,SOG
1994,1,0.0522,0.0809,0.1047,0.1207,0.135,0.1405,0.1512,0.1609,0.1877,SOG
1995,1,0.0598,0.0846,0.1103,0.1313,0.1446,0.1617,0.1631,0.1791,0.1753,SOG
1996,1,0.0617,0.0828,0.1061,0.1263,0.1457,0.1557,0.1718,0.1694,0.1766,SOG
