################################################################################
# Data file for Pacific Herring stock assessment using iSCAM
# Region(s):	West Coast of Vancouver Island
# Section(s):	230, 231, 232, 233, and 239
# Created:	2020-01-09
# Edited:	
################################################################################
#
##### Model dimensions #####
1	# Number of areas (narea)
1	# Number of groups (ngroup)
1	# Number of sexes (nsex)
1951	# First year (syr)
2019	# Last year (nyr)
2	# Youngest age (sage)
10	# Plus group (nage)
5	# Number of gears (ngear)
#
##### Fishery flags #####
0	1	0	0	0	# TAC allocations (mean of last 20 years)
#
##### Age and population parameters #####
27	# Asymptotic length (linf)
0.48	# Brody growth coefficient (k)
0	# Theoretical age at zero length (t0)
4.5e-06	# Scalar in length-weight allometry (alpha)
3.127	# Power parameter in length-weight allometry (beta)
2.055	# Age at 50% maturity
0.05	# Standard deviation at 50% maturity
1	# Natural mortality indicator
0.24974, 0.9, 1, 1, 1, 1, 1, 1, 1	# Maturity vector
#
##### Delay-difference parameters (not used) #####
0	# (kage)
0	# (alpha_g)
0	# (rho_g)
0	# (wk)
#
##### Catch (t*10^3) #####
69	# Number of observations
# Year	Gear	Area	Group	Sex	Type	Value
1951	1	1	1	0	1	15.546
1952	1	1	1	0	1	10.033
1954	1	1	1	0	1	23.824
1955	1	1	1	0	1	6.029
1956	1	1	1	0	1	16.474
1957	1	1	1	0	1	2.207
1958	1	1	1	0	1	0.513
1959	1	1	1	0	1	35.948
1960	1	1	1	0	1	16.019
1961	1	1	1	0	1	13.354
1962	1	1	1	0	1	6.938
1963	1	1	1	0	1	1.996
1964	1	1	1	0	1	11.802
1965	1	1	1	0	1	4.979
1966	1	1	1	0	1	2.287
1967	1	1	1	0	1	3.031
1975	1	1	1	0	1	0
1977	1	1	1	0	1	0.029
1978	1	1	1	0	1	2.036
1979	1	1	1	0	1	0.084
1980	1	1	1	0	1	0
1981	1	1	1	0	1	0.002
1982	1	1	1	0	1	0.002
1985	1	1	1	0	1	0.001
1986	1	1	1	0	1	0.001
1994	1	1	1	0	1	0.001
1995	1	1	1	0	1	0.004
1996	1	1	1	0	1	0.001
1972	2	1	1	0	1	1.062
1973	2	1	1	0	1	0.13
1974	2	1	1	0	1	3.535
1975	2	1	1	0	1	5.513
1976	2	1	1	0	1	8.013
1977	2	1	1	0	1	10.788
1978	2	1	1	0	1	3.008
1979	2	1	1	0	1	5.6
1980	2	1	1	0	1	0.17
