"Year","Gear","Area","a1","a2","a3","a4","a5","a6","a7","a8","a9","a10"
50,1,1,2,314,826,738,108,30,6,1,1,0
1951,1,1,1,268,1387,1147,258,37,10,0,0,0
1952,1,1,1,55,860,1050,1737,236,69,16,2,0
1953,1,1,8,602,4448,2111,300,40,6,4,0,0
1954,1,1,1,444,2592,961,157,32,5,1,1,1
1955,1,1,0,572,3009,725,147,23,7,1,0,0
1956,1,1,0,101,880,324,167,35,1,1,2,0
1958,1,1,0,266,2034,1143,415,113,55,34,8,0
1959,1,1,0,298,1770,854,440,143,80,55,18,6
1960,1,1,0,246,160,48,14,1,0,0,0,0
1961,1,1,0,29,125,77,13,0,0,0,0,0
1962,1,1,0,59,1174,258,37,14,0,0,0,0
1963,1,1,0,45,993,1081,132,13,5,0,0,0
1964,1,1,0,25,604,305,109,11,3,0,0,0
1965,1,1,0,17,328,405,127,31,5,0,0,0
1977,1,1,0,3,245,206,137,140,26,9,4,4
1978,1,1,0,27,788,348,186,195,25,10,3,1
1983,1,1,0,2,42,10,2,1,3,0,0,0
2045,1,1,0,9,78,9,2,1,1,0,0,0
2046,1,1,1,323,1942,1186,192,40,9,2,1,0
2047,1,1,1,147,2465,1665,420,114,24,10,1,0
2048,1,1,5,454,3402,1214,283,58,9,5,1,0
2049,1,1,4,318,4249,1372,340,44,12,4,0,0
1972,2,1,0,51,291,756,387,55,18,12,1,0
1973,2,1,0,18,784,625,823,277,40,7,2,0
1974,2,1,0,436,2333,1298,738,480,120,12,2,1
1975,2,1,2,60,5437,2005,1153,806,505,130,17,1
1976,2,1,0,19,818,4332,1828,1196,746,251,40,0
1977,2,1,0,35,838,2097,2507,834,301,112,19,3
1978,2,1,0,41,2396,1066,1000,1104,264,77,11,4
1979,2,1,0,30,530,1966,554,414,306,60,20,5
1980,2,1,0,86,1317,448,661,218,182,73,14,3
1981,2,1,0,126,1295,1101,412,485,217,90,19,0
1982,2,1,0,160,1210,1401,1316,275,466,132,71,15
1983,2,1,0,135,723,701,702,566,142,173,34,29
1984,2,1,0,888,1231,425,286,316,191,35,33,8
1985,2,1,0,753,1695,446,114,83,99,53,4,7
1986,2,1,0,157,2094,1233,344,130,93,73,24,3
1987,2,1,0,760,803,1624,1011,346,120,65,51,18
1988,2,1,0,191,4548,571,1100,736,209,55,33,16
1989,2,1,0,146,903,3482,376,495,259,39,10,2
1990,2,1,0,33,1856,849,3233,307,406,125,16,6
1991,2,1,0,482,1565,1543,780,2420,220,251,48,2
1992,2,1,0,97,2860,630,803,360,1017,126,73,13
1993,2,1,0,214,1508,2204,372,408,223,419,51,31
1994,2,1,0,182,1361,1449,1862,491,311,330,97,15
1995,2,1,0,40,645,1162,988,1256,331,220,155,35
1996,2,1,0,929,1364,818,1167,820,875,195,84,58
1997,2,1,1,142,3931,463,257,376,284,193,32,20
1998,2,1,0,118,1103,3054,327,145,157,89,57,15
1999,2,1,88,67,923,985,1574,317,110,57,30,15
2000,2,1,0,277,1037,875,788,1215,166,55,26,8
2001,2,1,0,155,992,433,172,166,209,29,5,4
2002,2,1,91,368,2662,1136,371,140,157,131,15,1
2003,2,1,6,95,2148,2005,694,132,62,41,33,4
2004,2,1,0,391,1316,2450,1004,286,64,21,11,1
2005,2,1,0,157,1655,939,680,237,71,12,2,3
2006,2,1,0,174,430,387,91,62,9,1,0,0
2007,2,1,0,7,303,211,66,11,4,0,0,0
2008,2,1,0,54,255,559,119,32,8,6,1,1
2009,2,1,34,44,1204,284,230,41,10,0,0,0
2010,2,1,80,356,597,859,105,91,14,2,0,0
2011,2,1,0,62,806,270,123,12,6,0,0,0
2012,2,1,0,19,168,561,93,53,6,3,0,0
2013,2,1,0,15,106,66,209,22,20,2,0,0
2014,2,1,77,22,210,41,8,9,2,0,1,0
2015,2,1,0,217,368,781,105,27,43,6,0,1
2016,2,1,1,53,880,218,154,16,3,5,1,0
2017,2,1,0,27,80,703,140,87,17,2,2,0
2018,2,1,0,174,311,188,914,162,61,8,3,0
2019,2,1,65,63,575,111,56,265,46,21,3,0
1973,3,1,0,0,49,143,323,84,18,6,1,0
1974,3,1,0,0,46,54,46,24,6,0,0,0
1975,3,1,0,0,8,82,102,57,19,1,0,0
1976,3,1,0,0,9,529,445,206,87,33,4,1
1977,3,1,0,2,12,59,153,63,44,19,5,1
1978,3,1,0,0,7,27,125,284,116,40,4,2
1979,3,1,0,0,7,148,152,143,108,11,2,0
1980,3,1,0,0,0,24,213,102,65,44,3,1
1981,3,1,0,0,5,59,42,102,53,20,0,0
1982,3,1,0,0,5,103,374,101,234,35,10,1
1983,3,1,0,0,2,81,136,256,37,56,2,1
1984,3,1,0,0,10,40,107,194,190,32,20,2
1987,3,1,0,0,10,135,340,30,12,16,5,2
1988,3,1,0,0,27,35,204,147,64,15,6,2
1989,3,1,0,0,1,208,42,85,36,6,4,0
1990,3,1,0,0,6,35,307,37,46,11,3,0
1991,3,1,0,0,1,25,41,223,28,28,2,1
1992,3,1,0,0,35,75,171,77,166,16,14,2
1994,3,1,0,1,35,199,340,33,7,4,1,0
1998,3,1,0,0,5,344,99,87,181,111,51,21
1999,3,1,0,0,8,106,527,159,44,31,12,1
2000,3,1,0,0,8,47,169,330,39,16,14,2
2002,3,1,0,0,0,55,154,82,110,120,12,2
2003,3,1,0,0,15,99,203,142,77,103,57,4
2004,3,1,0,0,5,179,154,158,92,24,14,5
2005,3,1,0,0,4,54,294,143,61,22,1,2
