"","Year","Catch","gearID","Area","Type"
"1",1951,0,6,1,2
"2",1952,0,6,1,2
"3",1953,0,6,1,2
"4",1954,0,6,1,2
"5",1955,0,6,1,2
"6",1956,0,6,1,2
"7",1957,0,6,1,2
"8",1958,0,6,1,2
"9",1959,0,6,1,2
"10",1960,0,6,1,2
"11",1961,0,6,1,2
"12",1962,0,6,1,2
"13",1963,0,6,1,2
"14",1964,0,6,1,2
"15",1965,0,6,1,2
"16",1966,0,6,1,2
"17",1967,0,6,1,2
"18",1968,0,6,1,2
"19",1969,0,6,1,2
"20",1970,0,6,1,2
"21",1971,0,6,1,2
"22",1972,0,6,1,2
"23",1973,0,6,1,2
"24",1974,0,6,1,2
"25",1975,4.082328e-05,6,1,2
"26",1976,0.0011793392,6,1,2
"27",1977,0,6,1,2
"28",1978,0,6,1,2
"29",1979,0,6,1,2
"30",1980,0,6,1,2
"31",1981,0.002699779584,6,1,2
"32",1982,0,6,1,2
"33",1983,0,6,1,2
"34",1984,0,6,1,2
"35",1985,0,6,1,2
"36",1986,0,6,1,2
"37",1987,0,6,1,2
"38",1988,0,6,1,2
"39",1989,0,6,1,2
"40",1990,0,6,1,2
"41",1991,0.024944384856,6,1,2
"42",1992,0.01747916772,6,1,2
"43",1993,0.017421107944,6,1,2
"44",1994,0.020447020176,6,1,2
"45",1995,0.050642639616,6,1,2
"46",1996,0.046856960784,6,1,2
"47",1997,0.061483488416,6,1,2
"48",1998,0.029678978152,6,1,2
"49",1999,0.035757564544,6,1,2
"50",2000,0.025545847848,6,1,2
"51",2001,0.0295288392,6,1,2
"52",2002,0.04601010452,6,1,2
"53",2003,0.025703244272,6,1,2
"54",2004,0.025989007232,6,1,2
"55",2005,0.004233827728,6,1,2
"56",2006,0,6,1,2
"57",2007,0,6,1,2
"58",2008,0,6,1,2
"59",2009,0,6,1,2
"60",2010,0,6,1,2
"61",2011,0,6,1,2
"62",2012,0,6,1,2
"63",2013,0,6,1,2
"64",2014,0,6,1,2
"65",2015,0,6,1,2
"66",2016,0,6,1,2
"67",2017,0,6,1,2
"68",2018,0,6,1,2
"69",2019,0,6,1,2
"70",2020,0,6,1,2
