"Year","Gear","Area","Type","Value","Stock"
1951,1,1,1,21.821,"Agg"
1952,1,1,1,27.008,"Agg"
1953,1,1,1,0.02,"Agg"
1954,1,1,1,33.209,"Agg"
1955,1,1,1,6.123,"Agg"
1956,1,1,1,17.098,"Agg"
1957,1,1,1,2.612,"Agg"
1958,1,1,1,0.556,"Agg"
1959,1,1,1,69.223,"Agg"
1960,1,1,1,53.911,"Agg"
1961,1,1,1,26.435,"Agg"
1962,1,1,1,23.684,"Agg"
1963,1,1,1,18.206,"Agg"
1964,1,1,1,21.266,"Agg"
1965,1,1,1,16.046,"Agg"
1966,1,1,1,10.843,"Agg"
1967,1,1,1,15.145,"Agg"
1975,1,1,1,0.001,"Agg"
1977,1,1,1,0.029,"Agg"
1978,1,1,1,2.839,"Agg"
1979,1,1,1,0.084,"Agg"
1980,1,1,1,0,"Agg"
1981,1,1,1,0.002,"Agg"
1982,1,1,1,0.002,"Agg"
1985,1,1,1,0.001,"Agg"
1986,1,1,1,0.001,"Agg"
1994,1,1,1,0.001,"Agg"
1995,1,1,1,0.004,"Agg"
1996,1,1,1,0.001,"Agg"
1972,2,1,1,6.894,"Agg"
1973,2,1,1,16.766,"Agg"
1974,2,1,1,12.394,"Agg"
1975,2,1,1,17.798,"Agg"
1976,2,1,1,22.82,"Agg"
1977,2,1,1,17.458,"Agg"
1978,2,1,1,5.151,"Agg"
1979,2,1,1,10.472,"Agg"
1980,2,1,1,1.682,"Agg"
1981,2,1,1,5.008,"Agg"
1982,2,1,1,2.37,"Agg"
1983,2,1,1,6.141,"Agg"
1984,2,1,1,5.718,"Agg"
1985,2,1,1,0.177,"Agg"
1986,2,1,1,0.203,"Agg"
1987,2,1,1,13.463,"Agg"
1988,2,1,1,8.276,"Agg"
1989,2,1,1,9.774,"Agg"
1990,2,1,1,7.89,"Agg"
1991,2,1,1,6.299,"Agg"
1992,2,1,1,3.086,"Agg"
1993,2,1,1,5.612,"Agg"
1994,2,1,1,5.332,"Agg"
1995,2,1,1,1.947,"Agg"
1996,2,1,1,0.79,"Agg"
1997,2,1,1,6.656,"Agg"
1998,2,1,1,5.45,"Agg"
1999,2,1,1,3.405,"Agg"
2000,2,1,1,0.926,"Agg"
2002,2,1,1,0.433,"Agg"
2003,2,1,1,2.571,"Agg"
2004,2,1,1,3.861,"Agg"
2005,2,1,1,3.373,"Agg"
1973,3,1,1,1.537,"Agg"
1974,3,1,1,3.94,"Agg"
1975,3,1,1,8.309,"Agg"
1976,3,1,1,16.005,"Agg"
1977,3,1,1,12.556,"Agg"
1978,3,1,1,14.755,"Agg"
1979,3,1,1,8.138,"Agg"
1980,3,1,1,2.3,"Agg"
1981,3,1,1,3.079,"Agg"
1982,3,1,1,3.115,"Agg"
1983,3,1,1,2.434,"Agg"
1984,3,1,1,0.858,"Agg"
1987,3,1,1,2.471,"Agg"
1988,3,1,1,1.448,"Agg"
1989,3,1,1,3.515,"Agg"
1990,3,1,1,1.959,"Agg"
1991,3,1,1,2.336,"Agg"
1992,3,1,1,0.627,"Agg"
1994,3,1,1,0.706,"Agg"
1998,3,1,1,1.534,"Agg"
1999,3,1,1,0.968,"Agg"
2000,3,1,1,0.7,"Agg"
2002,3,1,1,0.388,"Agg"
2003,3,1,1,0.945,"Agg"
2004,3,1,1,0.593,"Agg"
2005,3,1,1,0.896,"Agg"
1951,6,1,2,0,"Agg"
1952,6,1,2,0,"Agg"
1953,6,1,2,0,"Agg"
1954,6,1,2,0,"Agg"
1955,6,1,2,0,"Agg"
1956,6,1,2,0,"Agg"
1957,6,1,2,0,"Agg"
1958,6,1,2,0,"Agg"
1959,6,1,2,0,"Agg"
1960,6,1,2,0,"Agg"
1961,6,1,2,0,"Agg"
1962,6,1,2,0,"Agg"
1963,6,1,2,0,"Agg"
1964,6,1,2,0,"Agg"
1965,6,1,2,0,"Agg"
1966,6,1,2,0,"Agg"
1967,6,1,2,0,"Agg"
1968,6,1,2,0,"Agg"
1969,6,1,2,0,"Agg"
1970,6,1,2,0,"Agg"
1971,6,1,2,0,"Agg"
1972,6,1,2,0,"Agg"
1973,6,1,2,0,"Agg"
1974,6,1,2,0,"Agg"
1975,6,1,2,4.082328e-05,"Agg"
1976,6,1,2,0.0011793392,"Agg"
1977,6,1,2,0,"Agg"
1978,6,1,2,0,"Agg"
1979,6,1,2,0,"Agg"
1980,6,1,2,0,"Agg"
1981,6,1,2,0.002699779584,"Agg"
1982,6,1,2,0,"Agg"
1983,6,1,2,0,"Agg"
1984,6,1,2,0,"Agg"
1985,6,1,2,0,"Agg"
1986,6,1,2,0,"Agg"
1987,6,1,2,0,"Agg"
1988,6,1,2,0,"Agg"
1989,6,1,2,0,"Agg"
1990,6,1,2,0,"Agg"
1991,6,1,2,0.024944384856,"Agg"
1992,6,1,2,0.01747916772,"Agg"
1993,6,1,2,0.017421107944,"Agg"
1994,6,1,2,0.020447020176,"Agg"
1995,6,1,2,0.050642639616,"Agg"
1996,6,1,2,0.046856960784,"Agg"
1997,6,1,2,0.061483488416,"Agg"
1998,6,1,2,0.029678978152,"Agg"
1999,6,1,2,0.035757564544,"Agg"
2000,6,1,2,0.025545847848,"Agg"
2001,6,1,2,0.0295288392,"Agg"
2002,6,1,2,0.04601010452,"Agg"
2003,6,1,2,0.025703244272,"Agg"
2004,6,1,2,0.025989007232,"Agg"
2005,6,1,2,0.004233827728,"Agg"
2006,6,1,2,0,"Agg"
2007,6,1,2,0,"Agg"
2008,6,1,2,0,"Agg"
2009,6,1,2,0,"Agg"
2010,6,1,2,0,"Agg"
2011,6,1,2,0,"Agg"
2012,6,1,2,0,"Agg"
2013,6,1,2,0,"Agg"
2014,6,1,2,0,"Agg"
2015,6,1,2,0,"Agg"
2016,6,1,2,0,"Agg"
2017,6,1,2,0,"Agg"
2018,6,1,2,0,"Agg"
2019,6,1,2,0,"Agg"
2020,6,1,2,0,"Agg"
