Year,Spawn,Gear,Area,Group,Sex,Weight,Timing,Stock
1951,19.597,4,1,1,0,1,1,Agg
1952,13.31,4,1,1,0,1,1,Agg
1953,39.571,4,1,1,0,1,1,Agg
1954,20.648,4,1,1,0,1,1,Agg
1955,15.112,4,1,1,0,1,1,Agg
1956,27.183,4,1,1,0,1,1,Agg
1957,44.114,4,1,1,0,1,1,Agg
1958,18.986,4,1,1,0,1,1,Agg
1959,12.979,4,1,1,0,1,1,Agg
1960,6.015,4,1,1,0,1,1,Agg
1961,10.556,4,1,1,0,1,1,Agg
1962,34.47,4,1,1,0,1,1,Agg
1963,11.245,4,1,1,0,1,1,Agg
1964,22.761,4,1,1,0,1,1,Agg
1965,11.891,4,1,1,0,1,1,Agg
1966,3.722,4,1,1,0,1,1,Agg
1967,4.813,4,1,1,0,1,1,Agg
1968,11.029,4,1,1,0,1,1,Agg
1969,10.465,4,1,1,0,1,1,Agg
1970,26.912,4,1,1,0,1,1,Agg
1971,36.206,4,1,1,0,1,1,Agg
1972,41.857,4,1,1,0,1,1,Agg
1973,19.481,4,1,1,0,1,1,Agg
1974,25.54,4,1,1,0,1,1,Agg
1975,49.149,4,1,1,0,1,1,Agg
1976,64.2,4,1,1,0,1,1,Agg
1977,58.679,4,1,1,0,1,1,Agg
1978,45.607,4,1,1,0,1,1,Agg
1979,66.397,4,1,1,0,1,1,Agg
1980,62.308,4,1,1,0,1,1,Agg
1981,51.929,4,1,1,0,1,1,Agg
1982,33.483,4,1,1,0,1,1,Agg
1983,16.771,4,1,1,0,1,1,Agg
1984,24.087,4,1,1,0,1,1,Agg
1985,29.59,4,1,1,0,1,1,Agg
1986,39.514,4,1,1,0,1,1,Agg
1987,16.858,4,1,1,0,1,1,Agg
1988,46.242,5,1,1,0,1.1666,1,Agg
1989,47.718,5,1,1,0,1.1666,1,Agg
1990,46.464,5,1,1,0,1.1666,1,Agg
1991,29.996,5,1,1,0,1.1666,1,Agg
1992,42.366,5,1,1,0,1.1666,1,Agg
1993,34.392,5,1,1,0,1.1666,1,Agg
1994,25.249,5,1,1,0,1.1666,1,Agg
1995,27.128,5,1,1,0,1.1666,1,Agg
1996,33.121,5,1,1,0,1.1666,1,Agg
1997,45.362,5,1,1,0,1.1666,1,Agg
1998,41.011,5,1,1,0,1.1666,1,Agg
1999,19.734,5,1,1,0,1.1666,1,Agg
2000,12.799,5,1,1,0,1.1666,1,Agg
2001,13.414,5,1,1,0,1.1666,1,Agg
2002,21.242,5,1,1,0,1.1666,1,Agg
2003,31.397,5,1,1,0,1.1666,1,Agg
2004,16.432,5,1,1,0,1.1666,1,Agg
2005,9.664,5,1,1,0,1.1666,1,Agg
2006,2.875,5,1,1,0,1.1666,1,Agg
2007,2.246,5,1,1,0,1.1666,1,Agg
2008,2.739,5,1,1,0,1.1666,1,Agg
2009,10.607,5,1,1,0,1.1666,1,Agg
2010,2.464,5,1,1,0,1.1666,1,Agg
2011,9.663,5,1,1,0,1.1666,1,Agg
2012,5.407,5,1,1,0,1.1666,1,Agg
2013,12.258,5,1,1,0,1.1666,1,Agg
2014,13.937,5,1,1,0,1.1666,1,Agg
2015,11.323,5,1,1,0,1.1666,1,Agg
2016,20.528,5,1,1,0,1.1666,1,Agg
2017,15.734,5,1,1,0,1.1666,1,Agg
2018,28.107,5,1,1,0,1.1666,1,Agg
2019,17.03,5,1,1,0,1.1666,1,Agg
